step,day,k,p_load_fc_646_kw,p_pv_fc_646_kw,p_load_646_kw,p_pv_646_kw,baseline_grid_646_kw,battery_646_kw,battery_action,grid_646_kw,grid_646_forecast_kw,soc_predicted_pct,soc_measured_pct,feeder_baseline_grid_kw,feeder_grid_with_cil_kw,mpc_status
52,2,4,39.656,0.012,39.656,0.012,39.644,-48.7149,Charge,88.3589,88.3589,70.318,70.24,559.808,608.5229,optimal
53,2,5,38.952,0.036,38.952,0.036,38.916,-49.5489,Charge,88.4649,88.4649,72.6689,72.65,585.64,635.1889,optimal
54,2,6,38.04,0.0,38.04,0.0,38.04,-50.4524,Charge,88.4924,88.4924,75.1232,75.1,558.49,608.9424,optimal
55,2,7,37.696,0.0,37.696,0.0,37.696,-50.8328,Charge,88.5288,88.5288,77.5918,77.56,575.054,625.8868,optimal
56,2,8,38.332,0.012,38.332,0.012,38.32,-50.2628,Charge,88.5828,88.5828,80.0239,80.05,567.972,618.2348,optimal
57,2,9,39.672,0.012,39.672,0.012,39.66,-48.8744,Charge,88.5344,88.5344,82.4458,82.5,571.208,620.0824,optimal
58,2,10,37.782,0.024,37.782,0.024,37.758,-50.6658,Charge,88.4238,88.4238,84.9836,84.91,559.776,610.4418,optimal
59,2,11,39.956,0.024,39.956,0.024,39.932,-48.6587,Charge,88.5907,88.5907,87.2952,87.4,559.69,608.3487,optimal
60,2,12,45.702,0.024,45.702,0.024,45.678,-42.6455,Charge,88.3235,88.3235,89.4905,89.77,587.296,629.9415,optimal
61,2,13,49.374,0.602,49.374,0.602,48.772,-38.7369,Charge,87.5089,87.5089,91.6689,91.86,595.704,634.4409,optimal
62,2,14,52.26,4.052,52.26,4.052,48.208,-38.651,Charge,86.859,86.859,93.7547,93.77,597.454,636.105,optimal
63,2,15,55.674,11.47,55.674,11.47,44.204,0.9308,Discharge,43.2732,43.2732,93.7244,95.49,513.146,512.2152,optimal
64,2,16,58.14,21.582,58.14,21.582,36.558,-2.7131,Charge,39.2711,39.2711,95.623,95.46,428.29,431.0031,optimal
65,2,17,64.788,31.906,64.788,31.906,32.882,-6.8048,Charge,39.6868,39.6868,95.7936,95.62,380.052,386.8567,optimal
66,2,18,67.456,42.654,67.456,42.654,24.802,-15.3906,Charge,40.1926,40.1926,96.3744,96.01,255.708,271.0986,optimal
67,2,19,70.248,56.946,70.248,56.946,13.302,-28.1297,Charge,41.4317,41.4317,97.3889,96.81,99.066,127.1957,optimal
68,2,20,79.892,70.44,79.892,70.44,9.452,-34.3416,Charge,43.7936,43.7936,98.4934,98.21,10.152,44.4936,optimal
69,2,21,111.054,77.928,111.054,77.928,33.126,-12.0452,Charge,45.1712,45.1712,98.8005,99.77,181.118,193.1632,optimal
70,2,22,117.822,83.854,117.822,83.854,33.968,-4.692,Charge,38.66,38.66,100.0,100.0,192.278,196.97,optimal
71,2,23,135.28,92.4,135.28,92.4,42.88,4.2083,Discharge,38.6717,38.6717,99.7937,99.98,268.152,263.9437,optimal
72,2,24,140.456,105.99,140.456,105.99,34.466,-0.408,Idle,34.874,34.874,100.0,99.8,223.266,223.674,optimal
73,2,25,161.566,116.666,161.566,116.666,44.9,-4.08,Charge,48.98,48.98,100.0,99.82,341.366,345.446,optimal
74,2,26,175.42,118.9,175.42,118.9,56.52,-3.128,Charge,59.648,59.648,99.9733,100.0,457.456,460.584,optimal
75,2,27,182.322,123.218,182.322,123.218,59.104,0.0195,Idle,59.0845,59.0845,99.999,100.0,492.308,492.2885,optimal
76,2,28,188.338,120.838,188.338,120.838,67.5,-0.0069,Idle,67.5069,67.5069,100.0003,100.0,702.56,702.5669,optimal
77,2,29,188.414,107.988,188.414,107.988,80.426,53.012,Discharge,27.414,27.414,97.4014,99.73,993.278,940.266,optimal
78,2,30,192.822,96.568,192.822,96.568,96.254,70.3721,Discharge,25.8819,25.8819,96.2804,97.05,1230.294,1159.9219,optimal
79,2,31,199.29,89.876,199.29,89.876,109.414,84.0555,Discharge,25.3585,25.3585,92.9296,93.55,1365.496,1281.4405,optimal
80,2,32,207.96,86.9,207.96,86.9,121.06,96.1379,Discharge,24.9221,24.9221,88.8374,89.38,1481.14,1385.0021,optimal
81,2,33,217.66,77.554,217.66,77.554,140.106,115.5792,Discharge,24.5268,24.5268,83.7144,84.57,1684.588,1569.0088,optimal
82,2,34,216.77,62.55,216.77,62.55,154.22,130.3397,Discharge,23.8803,23.8803,78.1808,78.82,2066.436,1936.0963,optimal
83,2,35,228.026,46.774,228.026,46.774,181.252,157.8732,Discharge,23.3788,23.3788,71.0811,72.31,2387.786,2229.9128,optimal
84,2,36,233.714,30.648,233.714,30.648,203.066,180.69,Discharge,22.376,22.376,63.4526,64.45,2735.888,2555.198,optimal
85,2,37,232.5,20.264,232.5,20.264,212.236,190.7078,Discharge,21.5282,21.5282,55.1016,55.53,3017.874,2827.1663,optimal
86,2,38,227.104,13.12,227.104,13.12,213.984,192.8357,Discharge,21.1483,21.1483,46.0773,46.16,3089.434,2896.5983,optimal
87,2,39,234.898,4.792,234.898,4.792,230.106,209.0345,Discharge,21.0715,21.0715,35.9132,36.61,3224.332,3015.2975,optimal
88,2,40,248.834,1.03,248.834,1.03,247.804,227.4093,Discharge,20.3947,20.3947,25.4625,26.28,3275.426,3048.0167,optimal
89,2,41,245.968,0.0,245.968,0.0,245.968,147.0843,Discharge,98.8837,98.8837,19.07,15.55,3251.296,3104.2117,optimal
90,2,42,237.94,0.012,237.94,0.012,237.928,115.2147,Discharge,122.7133,122.7133,9.9022,8.49,3191.742,3076.5273,optimal
91,2,43,232.632,0.0,232.632,0.0,232.632,95.514,Discharge,137.118,137.118,3.8079,2.95,2980.294,2884.78,optimal
92,2,44,214.814,0.014,214.814,0.014,214.8,60.18,Discharge,154.62,154.62,-0.0,0.0,2861.122,2800.942,optimal
93,2,45,198.362,0.026,198.362,0.026,198.336,-0.0011,Idle,198.3371,198.3371,0.0001,0.0,2487.716,2487.7171,optimal
94,2,46,178.398,0.012,178.398,0.012,178.386,0.0027,Idle,178.3833,178.3833,-0.0001,0.0,2227.098,2227.0953,optimal
95,2,47,149.682,0.0,149.682,0.0,149.682,-0.0026,Idle,149.6846,149.6846,0.0001,0.0,1848.164,1848.1666,optimal
96,2,48,129.88,0.002,129.88,0.002,129.878,0.002,Idle,129.876,129.876,-0.0001,0.0,1702.77,1702.768,optimal
97,3,1,102.93,0.012,102.93,0.012,102.918,0.0029,Idle,102.9151,102.9151,-0.0001,0.0,1505.51,1505.5071,optimal
98,3,2,97.436,0.014,97.436,0.014,97.422,-0.0025,Idle,97.4245,97.4245,0.0001,0.0,1455.458,1455.4605,optimal
99,3,3,91.564,0.0,91.564,0.0,91.564,0.0028,Idle,91.5612,91.5612,-0.0001,0.0,1345.314,1345.3112,optimal
100,3,4,81.062,0.036,81.062,0.036,81.026,0.0004,Idle,81.0256,81.0256,-0.0,0.0,1233.78,1233.7796,optimal
101,3,5,72.71,0.012,72.71,0.012,72.698,-5.6341,Charge,78.3321,78.3321,0.2762,0.02,1231.574,1237.2081,optimal
102,3,6,83.71,0.038,83.71,0.038,83.672,0.408,Idle,83.264,83.264,0.0,0.29,1217.484,1217.076,optimal
103,3,7,78.624,0.0,78.624,0.0,78.624,4.578,Discharge,74.046,74.046,0.0656,0.26,1142.534,1137.956,optimal
104,3,8,75.408,0.024,75.408,0.024,75.384,5.304,Discharge,70.08,70.08,0.0,0.02,1067.822,1062.518,optimal
105,3,9,64.512,0.002,64.512,0.002,64.51,0.408,Idle,64.102,64.102,-0.0,0.0,1022.042,1021.634,optimal
106,3,10,58.81,0.024,58.81,0.024,58.786,-1.2913,Charge,60.0773,60.0773,0.0633,0.0,987.948,989.2393,optimal
107,3,11,58.518,0.0,58.518,0.0,58.518,-1.8176,Charge,60.3356,60.3356,0.0891,0.05,936.454,938.2716,optimal
108,3,12,54.544,0.036,54.544,0.036,54.508,-6.027,Charge,60.535,60.535,0.3454,0.17,856.102,862.129,optimal
109,3,13,50.982,0.462,50.982,0.462,50.52,-11.208,Charge,61.728,61.728,0.7194,0.49,780.494,791.702,optimal
110,3,14,64.394,4.476,64.394,4.476,59.918,-4.7067,Charge,64.6247,64.6247,0.7207,1.0,789.852,794.5587,optimal
111,3,15,57.26,10.37,57.26,10.37,46.89,17.1573,Discharge,29.7327,29.7327,0.159,1.14,685.814,668.6567,optimal
112,3,16,50.038,18.964,50.038,18.964,31.074,2.1966,Discharge,28.8774,28.8774,1.0323,0.38,494.84,492.6434,optimal
113,3,17,49.946,26.06,49.946,26.06,23.886,-5.5855,Charge,29.4715,29.4715,0.6538,0.32,417.11,422.6955,optimal
114,3,18,55.696,33.396,55.696,33.396,22.3,-7.4897,Charge,29.7897,29.7897,0.6871,0.62,329.758,337.2477,optimal
115,3,19,54.702,41.616,54.702,41.616,13.086,-16.7709,Charge,29.8569,29.8569,1.4421,1.01,194.694,211.4649,optimal
116,3,20,50.598,48.544,50.598,48.544,2.054,-28.2572,Charge,30.3112,30.3112,2.3952,1.9,57.722,85.9792,optimal
117,3,21,55.604,53.854,55.604,53.854,1.75,-29.1102,Charge,30.8602,30.8602,3.327,3.27,3.076,32.1862,optimal
118,3,22,50.682,62.71,50.682,62.71,-12.028,-42.955,Charge,30.927,30.927,5.3756,4.77,-107.056,-64.101,optimal
119,3,23,52.282,69.704,52.282,69.704,-17.422,-49.1313,Charge,31.7093,31.7093,7.1784,6.9,-174.588,-125.4567,optimal
120,3,24,52.246,73.666,52.246,73.666,-21.42,-53.5531,Charge,32.1331,32.1331,9.5252,9.33,-176.106,-122.5529,optimal
121,3,25,51.748,80.726,51.748,80.726,-28.978,-61.4322,Charge,32.4542,32.4542,12.3414,12.01,-222.222,-160.7898,optimal
122,3,26,55.802,86.01,55.802,86.01,-30.208,-63.2552,Charge,33.0472,33.0472,15.1107,15.01,-309.912,-246.6568,optimal
123,3,27,57.176,86.452,57.176,86.452,-29.276,-62.5208,Charge,33.2448,33.2448,18.0747,18.1,-369.226,-306.7052,optimal
124,3,28,62.906,71.62,62.906,71.62,-8.714,-41.904,Charge,33.19,33.19,20.1541,21.08,-206.798,-164.894,optimal
125,3,29,57.164,75.24,57.164,75.24,-18.076,-24.0847,Charge,6.0087,6.0087,22.2606,23.05,-253.342,-229.2573,optimal
126,3,30,61.304,80.216,61.304,80.216,-18.912,-24.7895,Charge,5.8775,5.8775,24.2652,24.24,-241.804,-217.0145,optimal
127,3,31,57.908,72.004,57.908,72.004,-14.096,-20.0573,Charge,5.9613,5.9613,25.2232,25.44,-136.364,-116.3067,optimal
128,3,32,60.684,58.44,60.684,58.44,2.244,-3.7826,Charge,6.0266,6.0266,25.6254,26.34,73.86,77.6426,optimal
129,3,33,58.102,48.31,58.102,48.31,9.792,3.7313,Discharge,6.0607,6.0607,26.1571,26.49,145.324,141.5927,optimal
130,3,34,58.586,44.514,58.586,44.514,14.072,8.0021,Discharge,6.0699,6.0699,26.0977,26.28,252.51,244.5079,optimal
131,3,35,63.92,37.29,63.92,37.29,26.63,20.5465,Discharge,6.0835,6.0835,25.2728,25.82,388.206,367.6595,optimal
132,3,36,72.56,23.516,72.56,23.516,49.044,42.9332,Discharge,6.1108,6.1108,23.7154,24.69,644.844,601.9108,optimal
133,3,37,81.732,10.058,81.732,10.058,71.674,65.5685,Discharge,6.1055,6.1055,21.4759,22.47,902.056,836.4875,optimal
134,3,38,79.416,4.06,79.416,4.06,75.356,69.3109,Discharge,6.0451,6.0451,19.0724,19.22,969.048,899.7371,optimal
135,3,39,73.79,0.878,73.79,0.878,72.912,66.9277,Discharge,5.9843,5.9843,15.9392,15.84,936.456,869.5283,optimal
