Time,Time Varying Load 611.Single phase time-varying load1.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseA.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseB.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseC.P_measured,Time Varying Load 645.Single phase time-varying load645.P_measured,Time Varying Load 646.Single phase time-varying load646.P_measured,Time Varying Load 652.Single phase time-varying load652.P_measured,Time Varying Load 692.Single phase time-varying loadC.P_measured
249.0,19263.4375,33003.03515625,13161.302734375,17158.57421875,27843.828125,32784.08984375,17198.197265625,8579.2724609375
249.25,19259.91015625,33002.6796875,13161.490234375,17158.45703125,27839.71484375,32777.4375,17199.65625,8575.7939453125
249.5,19262.470703125,33002.64453125,13161.478515625,17158.552734375,27844.375,32778.90234375,17199.53125,8575.853515625
249.75,19262.408203125,33002.67578125,13161.4697265625,17158.51171875,27843.880859375,32783.91796875,17201.0390625,8576.0595703125
250.0,19262.439453125,33002.68359375,13161.4501953125,17158.41796875,27841.1953125,32782.96875,17200.203125,8576.30078125
250.25,19262.44921875,33002.6953125,13161.4599609375,17158.783203125,27842.501953125,32784.4296875,17200.63671875,8573.654296875
250.5,19262.1484375,33002.6796875,13161.4775390625,17158.474609375,27833.234375,32783.1953125,17200.8671875,8575.00390625
250.75,19262.509765625,33002.6796875,13161.482421875,17158.4765625,27838.23046875,32782.203125,17199.833984375,8576.244140625
251.0,17258.845703125,31998.890625,14160.921875,15166.0009765625,28843.705078125,31785.34765625,20203.064453125,8576.8916015625
251.25,17258.3828125,31998.732421875,14160.728515625,15165.7666015625,28848.29296875,31782.18359375,20203.220703125,8575.8740234375
251.5,17252.625,31998.734375,14160.716796875,15165.7158203125,28846.955078125,31775.94921875,20203.556640625,8576.30859375
251.75,17259.810546875,31998.75390625,14160.6982421875,15165.7197265625,28840.15625,31777.947265625,20193.841796875,8576.3056640625
252.0,17259.88671875,31998.7578125,14160.7294921875,15165.6240234375,28844.6875,31781.396484375,20203.298828125,8576.205078125
252.25,17259.919921875,31998.740234375,14160.744140625,15165.62109375,28848.861328125,31787.876953125,20204.8671875,8576.3095703125
252.5,17259.83984375,31998.71875,14160.7509765625,15165.7685546875,28846.41796875,31781.2265625,20204.5390625,8572.203125
252.75,17259.68359375,31998.69921875,14160.7314453125,15165.9267578125,28842.1640625,31780.361328125,20204.369140625,8574.8271484375
253.0,18260.59375,31996.185546875,15162.2060546875,11161.4111328125,34847.9609375,27779.9921875,18204.603515625,11585.359375
253.25,18261.3203125,31996.26171875,15161.9169921875,11161.345703125,34848.65234375,27776.33984375,18201.697265625,11578.9873046875
253.5,18261.5703125,31996.263671875,15161.9150390625,11161.4775390625,34856.12109375,27775.16015625,18202.244140625,11579.19921875
253.75,18261.212890625,31996.2578125,15161.9365234375,11161.484375,34854.44921875,27768.7578125,18201.3984375,11579.0927734375
254.0,18261.185546875,31996.232421875,15161.962890625,11161.5234375,34854.57421875,27772.455078125,18192.291015625,11579.328125
254.25,18261.216796875,31996.228515625,15161.9521484375,11161.578125,34854.63671875,27779.84765625,18200.712890625,11578.841796875
254.5,18261.19921875,31996.205078125,15161.9541015625,11161.54296875,34845.15625,27777.609375,18202.193359375,11579.1806640625
254.75,18261.0546875,31996.25390625,15161.9306640625,11161.4794921875,34849.23046875,27778.55078125,18202.267578125,11576.0703125
255.0,21265.115234375,29997.771484375,12162.3603515625,13158.814453125,35846.9921875,24767.966796875,18199.58984375,12577.5419921875
255.25,21236.564453125,29967.146484375,12150.275390625,13142.9189453125,35822.3046875,24746.2109375,18183.658203125,12565.9228515625
255.5,21265.296875,29997.97265625,12161.986328125,13158.8486328125,35851.2890625,24768.009765625,18201.35546875,12580.376953125
255.75,21263.259765625,29997.9375,12161.98046875,13158.76953125,35851.0234375,24767.078125,18200.787109375,12580.1787109375
256.0,21265.21484375,29997.9296875,12161.9970703125,13158.7314453125,35856.8515625,24767.92578125,18201.5234375,12580.3486328125
256.25,21265.07421875,29997.9140625,12161.9814453125,13158.751953125,35853.32421875,24772.01171875,18192.3515625,12579.744140625
256.5,21265.203125,29997.9375,12161.9755859375,13158.732421875,35856.3671875,24773.484375,18200.779296875,12580.3662109375
256.75,21265.181640625,29997.95703125,12161.958984375,13158.728515625,35851.11328125,24773.9375,18201.705078125,12580.294921875
257.0,20264.265625,29993.4609375,18158.16015625,10159.390625,36860.08203125,29776.076171875,15192.830078125,15577.486328125
257.25,20263.6640625,29993.5859375,18158.98046875,10159.267578125,36840.4609375,29778.2578125,15198.06640625,15583.2177734375
257.5,20236.615234375,29962.779296875,18142.404296875,10147.1845703125,36820.8046875,29744.560546875,15181.1982421875,15565.5712890625
257.75,20263.638671875,29993.5390625,18158.974609375,10159.443359375,36857.89453125,29772.685546875,15198.181640625,15583.2392578125
258.0,20264.146484375,29993.552734375,18158.958984375,10159.1943359375,36849.9296875,29777.98828125,15198.150390625,15583.7958984375
258.25,20262.685546875,29993.580078125,18158.955078125,10159.24609375,36859.71875,29768.119140625,15190.1572265625,15582.951171875
258.5,20263.62109375,29993.58203125,18158.931640625,10159.33984375,36850.328125,29768.802734375,15189.8935546875,15583.37109375
258.75,20263.802734375,29993.58203125,18158.953125,10159.4775390625,36854.8515625,29778.720703125,15198.8076171875,15583.189453125
259.0,23271.36328125,27995.16015625,18167.09765625,12157.7412109375,26840.1484375,35790.70703125,16202.884765625,12571.86328125
259.25,23267.75,27994.83984375,18167.181640625,12157.6015625,26841.16015625,35786.20703125,16199.7802734375,12578.4052734375
259.5,23267.9609375,27994.830078125,18167.173828125,12157.638671875,26826.783203125,35790.15234375,16200.4052734375,12580.3203125
259.75,23235.7890625,27965.89453125,18150.578125,12142.904296875,26816.736328125,35743.93359375,16182.6201171875,12565.1064453125
