Time,Time Varying Load 671.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadB.P_measured,Time Varying Load 671.Single phase time-varying loadA1.P_measured,Time Varying Load 671.Single phase time-varying loadA2.P_measured,Time Varying Load 675.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadC.P_measured
134.0,153013.34375,33471.32421875,135080.28125,156109.046875,180405.71875,102117.375
134.25,153012.328125,33444.7578125,134897.5625,155899.53125,180302.875,101960.296875
134.5,153088.84375,33471.3359375,135080.375,156110.953125,180311.890625,102118.5234375
134.75,153088.96875,33471.16015625,135080.875,156108.515625,180403.765625,102118.625
135.0,153081.953125,33470.94140625,135076.109375,155094.953125,178410.546875,104084.0234375
135.25,153087.625,33471.26953125,135081.03125,155078.671875,178401.234375,104121.53125
135.5,153087.53125,33471.3046875,135080.96875,155078.71875,178401.0625,104121.59375
135.75,153086.828125,33463.9921875,135037.640625,155105.671875,178399.234375,104111.2578125
136.0,153087.671875,33471.078125,135052.390625,155106.890625,178398.5,104077.21875
136.25,153083.5,33471.26953125,135081.546875,155109.515625,178402.625,104123.5859375
136.5,153012.796875,33444.92578125,134897.375,154900.046875,178302.65625,103959.0
136.75,153090.53125,33471.06640625,135080.109375,155110.0,178312.125,104121.0
137.0,151065.609375,35472.21875,138071.390625,151125.96875,177405.234375,107092.34375
137.25,151085.875,35473.9140625,138084.703125,151102.71875,177399.5625,107126.0078125
137.5,151086.09375,35473.7578125,138084.59375,151103.34375,177400.53125,107125.5859375
137.75,151085.390625,35473.80078125,138084.765625,151051.515625,177399.984375,107125.890625
138.0,151084.484375,35466.08203125,138084.640625,151101.359375,177398.328125,107125.359375
138.25,151083.5,35473.5859375,138055.28125,151101.0,177394.921875,107080.2734375
138.5,151080.25,35473.671875,138084.859375,151101.84375,177401.203125,107123.109375
138.75,150939.6875,35445.89453125,137896.84375,150900.890625,177308.25,106956.375
139.0,76491.1875,16505.8046875,65422.28125,77653.6328125,87223.1328125,53718.2421875
139.25,76994.84375,16448.658203125,64986.30859375,76004.2265625,87297.6171875,53049.41015625
139.5,76995.4296875,16442.744140625,64986.171875,76004.1015625,87298.3203125,53043.04296875
139.75,76995.4921875,16448.806640625,64986.58203125,76004.140625,87298.2890625,53046.98046875
140.0,76995.5078125,16448.818359375,64986.0546875,76004.6875,87298.1328125,53049.9765625
140.25,76995.09375,16448.6875,64986.328125,76003.3046875,87296.9609375,53048.828125
140.5,76995.15625,16448.697265625,64986.1796875,76003.7109375,87253.4921875,53048.04296875
140.75,76989.328125,16448.990234375,64986.6640625,75988.96875,87293.4453125,53048.81640625
141.0,73926.515625,16434.595703125,67903.5859375,71874.1875,87230.4140625,55997.01953125
141.25,73992.5859375,16448.78515625,67977.0390625,71997.5625,87298.96875,56052.64453125
141.5,73991.21875,16443.150390625,67991.578125,71998.7734375,87298.125,56053.33984375
141.75,73992.0625,16448.58984375,67990.484375,71997.875,87298.4765625,56029.859375
142.0,73991.1640625,16448.865234375,67990.1171875,71998.0703125,87299.109375,56050.453125
142.25,73992.0,16448.71484375,67990.4375,71998.0078125,87298.671875,56052.32421875
142.5,73991.1171875,16448.787109375,67990.46875,71997.625,87297.2734375,56052.51953125
142.75,73990.140625,16448.765625,67990.4140625,71998.109375,87253.6640625,56052.69921875
143.0,77986.53125,17449.294921875,60986.1953125,79010.0078125,86298.65625,55036.51171875
143.25,77994.390625,17449.87890625,60968.45703125,78979.9921875,86293.671875,55051.71484375
143.5,77993.5078125,17449.89453125,60968.609375,79008.125,86292.609375,55050.94140625
143.75,77996.4609375,17449.818359375,60980.671875,79007.234375,86296.9609375,55049.5078125
144.0,77996.625,17449.908203125,60980.84765625,79007.390625,86297.3046875,55028.96484375
144.25,77996.4921875,17450.087890625,60980.94140625,79008.0234375,86296.9609375,55051.56640625
144.5,77995.8984375,17450.078125,60980.88671875,79006.84375,86294.3828125,55050.83203125
144.75,77996.5625,17450.06640625,60980.8046875,79007.2890625,86295.9453125,55051.05859375
145.0,73992.8359375,19452.205078125,63974.609375,76993.0625,87309.125,57076.1171875
145.25,73985.5703125,19452.82421875,63985.203125,76990.0703125,87293.6171875,57054.25390625
145.5,73989.265625,19452.482421875,63962.45703125,76977.953125,87294.765625,57054.859375
145.75,73992.9140625,19452.708984375,63973.36328125,77006.265625,87299.3515625,57053.8203125
146.0,73990.75,19445.9765625,63984.75,77004.0703125,87297.0078125,57054.1328125
146.25,73991.671875,19452.462890625,63984.71875,77004.2890625,87297.296875,57030.453125
