Time,Time Varying Load 671.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadB.P_measured,Time Varying Load 671.Single phase time-varying loadA1.P_measured,Time Varying Load 671.Single phase time-varying loadA2.P_measured,Time Varying Load 675.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadC.P_measured
271.0,-25111.658203125,-2572.068603515625,-38113.3203125,-24106.23046875,-41814.140625,-18027.62890625
271.25,-25109.26953125,-2571.932861328125,-38112.7734375,-24105.736328125,-41837.55078125,-18027.58203125
271.5,-25110.05078125,-2571.962890625,-38113.02734375,-24105.83984375,-41835.76171875,-18027.861328125
271.75,-21124.732421875,-4565.33984375,-17014.7578125,-14017.775390625,-17681.931640625,-7080.48974609375
272.0,-21107.333984375,-4573.4697265625,-17100.865234375,-14099.046875,-17823.240234375,-7017.85107421875
272.25,-21105.712890625,-4572.95751953125,-17100.630859375,-14097.888671875,-17823.46484375,-7017.19482421875
272.5,-21105.736328125,-4573.27197265625,-17100.814453125,-14098.646484375,-17823.275390625,-7020.5078125
272.75,-21109.216796875,-4573.623046875,-17101.15625,-14095.8857421875,-17823.9453125,-7019.216796875
273.0,-21105.505859375,-4573.40869140625,-17093.494140625,-14092.1376953125,-17821.291015625,-7018.9150390625
273.25,-21108.111328125,-4573.6279296875,-17102.048828125,-14100.4970703125,-17814.11328125,-7019.9228515625
273.5,-21106.904296875,-4573.5869140625,-17101.431640625,-14098.671875,-17821.072265625,-7019.93896484375
273.75,7916.5341796875,435.28680419921875,4026.363037109375,11928.2958984375,9419.248046875,15908.6669921875
274.0,7916.7236328125,430.3717956542969,3915.295166015625,11918.3056640625,9202.0966796875,16002.7490234375
274.25,7912.537109375,430.5671691894531,3915.60546875,11921.33203125,9199.5078125,16001.88671875
274.5,7916.33056640625,430.41741943359375,3915.37744140625,11923.501953125,9200.0263671875,15996.671875
274.75,7915.46337890625,430.69403076171875,3916.493408203125,11923.11328125,9200.58203125,15999.794921875
275.0,7915.615234375,430.4745788574219,3915.600830078125,11924.0986328125,9200.3115234375,16002.21875
275.25,7915.07861328125,430.6749267578125,3916.0400390625,11924.3798828125,9198.1865234375,16002.900390625
275.5,7915.1875,430.6010437011719,3914.398681640625,11923.654296875,9199.1533203125,16002.2841796875
275.75,20915.73046875,3433.0673828125,6914.009765625,19986.970703125,15167.8388671875,22025.962890625
276.0,20917.888671875,3433.607421875,6919.33447265625,19931.583984375,15202.76953125,22009.564453125
276.25,20920.787109375,3433.233642578125,6918.31787109375,19928.806640625,15209.5263671875,22009.576171875
276.5,20929.521484375,3433.293212890625,6919.076171875,19926.23828125,15205.373046875,22009.8359375
276.75,20929.111328125,3432.061279296875,6918.27783203125,19933.951171875,15206.462890625,22007.302734375
277.0,20928.314453125,3433.3330078125,6918.13671875,19931.86328125,15205.4814453125,22007.58203125
277.25,20928.353515625,3433.4208984375,6918.26416015625,19931.90625,15204.8291015625,22008.263671875
277.5,20928.16015625,3433.447509765625,6918.58935546875,19932.064453125,15206.2109375,22008.919921875
277.75,27959.08203125,4432.31494140625,25911.388671875,28859.642578125,34236.4609375,31976.87109375
278.0,27923.1015625,4434.5078125,25938.287109375,28942.5859375,34227.9765625,32021.05859375
278.25,27933.7421875,4434.55908203125,25928.234375,28942.224609375,34209.0,32021.189453125
278.5,27933.90625,4434.60595703125,25938.548828125,28940.9296875,34223.3203125,32021.033203125
278.75,27935.263671875,4434.36669921875,25937.8125,28942.685546875,34226.91796875,32021.65234375
279.0,27936.126953125,4433.82470703125,25938.181640625,28933.103515625,34227.88671875,32017.857421875
279.25,27935.3828125,4433.6728515625,25937.73828125,28932.736328125,34227.34375,32008.8671875
279.5,27936.48046875,4434.39697265625,25937.962890625,28940.943359375,34229.359375,32019.3828125
279.75,49923.6484375,11439.58203125,34942.8125,49855.80859375,46174.0,39004.578125
280.0,49958.57421875,11442.328125,34948.12890625,49969.734375,46239.79296875,39028.81640625
280.25,49960.73828125,11442.5498046875,34948.171875,49968.09375,46242.71875,39029.4921875
280.5,49961.80859375,11442.4658203125,34948.56640625,49969.62890625,46221.15625,39029.76953125
280.75,49960.36328125,11442.3154296875,34941.625,49967.45703125,46239.26171875,39029.5859375
281.0,49961.51171875,11442.583984375,34948.99609375,49968.05078125,46242.2265625,39029.84375
281.25,49961.875,11442.3876953125,34948.22265625,49968.578125,46242.9140625,39029.96484375
281.5,49961.3046875,11440.5185546875,34948.57421875,49968.35546875,46243.2421875,39014.50390625
281.75,74051.3125,21442.02734375,69958.1484375,78801.5,86307.7734375,59979.14453125
282.0,73991.46875,21451.16015625,69992.796875,79007.0859375,86296.265625,60033.48046875
282.25,73991.34375,21455.33984375,69993.25,79007.21875,86297.90625,60056.19140625
282.5,73991.8828125,21455.337890625,69992.875,79007.5546875,86297.421875,60057.765625
282.75,73991.28125,21455.283203125,69993.0546875,79007.328125,86296.34375,60057.8984375
283.0,73991.7265625,21455.255859375,69992.9921875,79007.5546875,86253.0390625,60057.734375
283.25,73988.3515625,21455.1796875,69993.0859375,79007.609375,86298.75,60058.1640625
283.5,73956.8828125,21455.48828125,69968.9765625,78978.0234375,86296.515625,60057.66796875
283.75,106080.015625,30464.66015625,98009.4921875,108836.5390625,126318.3046875,75016.171875
284.0,106032.609375,30467.138671875,98031.390625,109049.078125,126347.2109375,75079.703125
284.25,106032.1328125,30467.1015625,98010.390625,109048.5234375,126347.0234375,75079.65625
284.5,106026.9765625,30457.341796875,98031.9453125,109049.4375,126348.4296875,75072.6015625
284.75,106033.890625,30467.306640625,98031.0703125,109011.421875,126347.9921875,75079.875
285.0,106030.609375,30467.498046875,98031.5859375,109047.1796875,126345.109375,75079.0859375
285.25,106032.96875,30467.11328125,98031.3046875,109050.4140625,126348.21875,75079.3828125
285.5,106030.6171875,30467.32421875,98031.234375,109048.375,126340.8828125,75079.65625
285.75,117034.15625,28464.015625,105033.9296875,118095.046875,141381.296875,80093.15625
286.0,117045.875,28464.73828125,105040.78125,118060.5859375,141363.25,80086.3046875
286.25,117040.9140625,28464.619140625,105040.9765625,118060.9375,141364.859375,80087.0078125
286.5,116987.578125,28464.88671875,105006.4296875,118061.9375,141365.265625,80086.5859375
286.75,117046.3984375,28455.04296875,105018.0,118060.3984375,141361.234375,80079.375
287.0,117045.1875,28464.64453125,105040.5078125,118061.65625,141364.71875,80054.234375
287.25,117046.375,28464.7578125,105040.65625,118060.5390625,141364.5,80086.5859375
287.5,117045.75,28464.666015625,105040.6328125,118039.46875,141364.046875,80086.5390625
287.75,114975.609375,26441.13671875,96917.15625,116914.1015625,137260.234375,73997.96875
288.0,115044.9765625,26462.205078125,97029.734375,117059.859375,137361.328125,74078.265625
288.25,115044.1953125,26462.123046875,97029.515625,117060.2734375,137360.15625,74078.5625
288.5,115043.015625,26462.013671875,97029.9140625,117059.8828125,137359.5,74078.6171875
288.75,115037.703125,26462.005859375,97009.359375,117059.453125,137359.390625,74078.359375
289.0,115041.0390625,26453.0390625,97029.765625,117059.4296875,137357.21875,74045.28125
289.25,115044.53125,26462.271484375,97030.5703125,117059.265625,137361.578125,74075.8046875
289.5,115043.84375,26462.16015625,97029.9296875,117060.0546875,137360.734375,74077.8671875
289.75,112055.5546875,26463.177734375,98031.0546875,112091.5,129368.5859375,79072.1484375
290.0,112040.9609375,26461.9296875,98030.890625,112053.9296875,129286.1328125,79085.109375
290.25,112041.0078125,26461.80859375,98031.125,112052.40625,129351.65625,79084.9765625
290.5,112039.8984375,26462.119140625,98031.234375,112053.015625,129350.0234375,79085.453125
290.75,112039.3515625,26461.99609375,98031.375,112052.8046875,129350.328125,79085.4921875
291.0,112039.25,26461.939453125,98010.40625,112052.65625,129349.9140625,79085.328125
291.25,111986.0546875,26456.376953125,98031.75,112054.1015625,129352.6875,79078.4921875
291.5,112037.2890625,26461.673828125,98031.09375,112052.3125,129349.6015625,79082.5859375
291.75,109014.84375,23456.822265625,110035.15625,111015.3515625,142337.375,82070.875
292.0,109035.46875,23458.140625,110047.7109375,111031.9296875,142364.890625,82089.671875
292.25,109034.78125,23458.01953125,110047.640625,111049.84375,142363.625,82089.2578125
292.5,109034.2265625,23458.2734375,110047.453125,111050.546875,142359.46875,82089.125
292.75,109038.1796875,23457.923828125,110047.328125,111050.6640625,142368.3125,82089.875
293.0,109035.234375,23458.099609375,110047.7578125,111051.796875,142365.109375,82089.734375
