step,date_label,profile_time,v_632_A_rms_V,v_632_B_rms_V,v_632_C_rms_V,v_633_A_rms_V,v_633_B_rms_V,v_633_C_rms_V,v_634_A_rms_V,v_634_B_rms_V,v_634_C_rms_V,v_645_B_rms_V,v_645_C_rms_V,v_646_B_rms_V,v_646_C_rms_V,v_652_A_rms_V,v_671_A_rms_V,v_671_B_rms_V,v_671_C_rms_V,v_675_A_rms_V,v_675_B_rms_V,v_675_C_rms_V,v_680_A_rms_V,v_680_B_rms_V,v_680_C_rms_V,v_684_A_rms_V,v_684_C_rms_V,v_692_A_rms_V,v_692_B_rms_V,v_692_C_rms_V,v_611_C_rms_V
11,7-Jan-13,5:30,2460.8935546875,2460.8935546875,2460.8935546875,2460.006591796875,2460.547607421875,2460.3671875,283.2031555175781,283.5905456542969,283.4964599609375,2458.32275390625,2460.10888671875,2457.767578125,2460.893798828125,2388.291259765625,2390.411865234375,2450.0576171875,2434.687255859375,2388.1474609375,2450.38134765625,2433.8212890625,2390.411865234375,2450.057373046875,2434.687255859375,2389.878662109375,2434.0380859375,2390.411865234375,2450.057373046875,2434.68212890625,2433.330322265625
12,7-Jan-13,6:00,2460.8935546875,2460.8935546875,2460.8935546875,2460.044677734375,2460.44287109375,2460.408935546875,283.22711181640625,283.5176696777344,283.523193359375,2458.284912109375,2460.019287109375,2457.677734375,2459.40283203125,2386.254150390625,2388.38720703125,2450.041259765625,2435.049072265625,2386.064208984375,2450.376220703125,2432.826171875,2388.38720703125,2450.041259765625,2435.049072265625,2387.854248046875,2433.00634765625,2388.38720703125,2450.041259765625,2433.733642578125,2433.539794921875
13,7-Jan-13,6:30,2460.8935546875,2460.8935546875,2460.8935546875,2460.10546875,2460.437255859375,2460.39990234375,283.2714538574219,283.51708984375,283.5205078125,2458.418212890625,2460.044189453125,2457.830810546875,2459.45947265625,2386.423828125,2388.599365234375,2450.22412109375,2433.054443359375,2386.2734375,2450.5712890625,2432.130859375,2388.601318359375,2450.22412109375,2433.054443359375,2388.060302734375,2432.228759765625,2388.601318359375,2450.22412109375,2433.054443359375,2431.348876953125
14,7-Jan-13,7:00,2460.8935546875,2460.8935546875,2460.8935546875,2460.045166015625,2460.4580078125,2460.4111328125,283.2287292480469,283.52923583984375,283.5260314941406,2458.492919921875,2460.069580078125,2457.923095703125,2459.525146484375,2384.702880859375,2387.056640625,2450.58984375,2431.802001953125,2384.650390625,2450.99169921875,2430.792724609375,2387.056640625,2450.589599609375,2431.802001953125,2386.471923828125,2430.90380859375,2387.056640625,2450.589599609375,2431.803466796875,2429.948486328125
15,7-Jan-13,7:30,2460.8935546875,2460.8935546875,2460.8935546875,2460.215087890625,2460.500244140625,2460.354248046875,283.3548889160156,283.56903076171875,283.4990234375,2458.72021484375,2460.1611328125,2458.212158203125,2459.646240234375,2391.6845703125,2393.817138671875,2450.46337890625,2433.36474609375,2391.68701171875,2450.810791015625,2432.3896484375,2393.817138671875,2450.46337890625,2433.36474609375,2393.28515625,2432.6103515625,2393.817138671875,2450.46337890625,2433.3662109375,2431.8017578125
16,7-Jan-13,8:00,2460.8935546875,2460.8935546875,2460.8935546875,2460.30810546875,2460.61865234375,2460.46044921875,283.4410400390625,283.6728210449219,283.5951232910156,2459.236572265625,2460.33203125,2458.847412109375,2459.94921875,2410.03466796875,2411.42041015625,2452.300537109375,2438.5078125,2409.900634765625,2452.572509765625,2437.78662109375,2411.418701171875,2452.300537109375,2438.5078125,2411.078125,2437.9091796875,2411.418701171875,2452.299560546875,2438.5078125,2437.276611328125
17,7-Jan-13,8:30,2460.8935546875,2460.8935546875,2460.8935546875,2460.4423828125,2460.683837890625,2460.56005859375,283.5538024902344,283.8924865722656,283.685302734375,2459.53857421875,2460.46826171875,2459.239501953125,2460.169677734375,2420.09130859375,2421.135498046875,2453.205810546875,2441.584228515625,2419.9794921875,2453.3935546875,2441.00830078125,2421.135498046875,2453.206787109375,2441.584228515625,2420.876708984375,2441.12744140625,2421.135498046875,2453.206787109375,2441.583984375,2440.645751953125
18,7-Jan-13,9:00,2460.8935546875,2462.223388671875,2460.8935546875,2460.401123046875,2460.65625,2460.75390625,283.53521728515625,283.7298889160156,283.82672119140625,2459.74462890625,2460.499755859375,2459.47216796875,2460.22216796875,2428.87255859375,2429.59423828125,2454.740478515625,2446.589599609375,2428.868896484375,2453.373779296875,2446.341552734375,2429.59423828125,2453.41455078125,2446.589599609375,2429.412841796875,2446.38330078125,2429.59423828125,2453.41455078125,2446.589599609375,2446.16162109375
19,7-Jan-13,9:30,2460.8935546875,2460.8935546875,2462.223388671875,2460.760986328125,2460.85693359375,2460.865966796875,283.82769775390625,283.91546630859375,283.9534606933594,2460.810791015625,2460.75244140625,2460.727783203125,2460.67529296875,2453.23193359375,2453.2626953125,2457.66650390625,2452.122802734375,2453.254638671875,2457.615478515625,2452.0947265625,2453.26220703125,2457.66650390625,2452.122802734375,2453.2578125,2452.078125,2453.26220703125,2456.339111328125,2452.122802734375,2452.03515625
20,7-Jan-13,10:00,2460.8935546875,2460.8935546875,2460.8935546875,2460.896728515625,2461.017578125,2461.037841796875,283.9540100097656,284.0592041015625,284.1056213378906,2461.660400390625,2460.974853515625,2461.73828125,2461.052734375,2472.589111328125,2471.93701171875,2460.032470703125,2457.57470703125,2472.473388671875,2458.6435546875,2457.81103515625,2471.93701171875,2458.703857421875,2457.57470703125,2472.106201171875,2457.71484375,2471.93701171875,2458.703857421875,2457.57470703125,2457.873291015625
