step,date_label,profile_time,p_634_A_W,p_634_B_W,p_634_C_W,p_645_B_W,p_646_B_W,p_652_A_W,p_671_A_W,p_671_B_W,p_671_C_W,p_675_A_W,p_675_B_W,p_675_C_W,p_692_C_W,p_611_C_W
73,8-Jan-13,12:30,26081.599609375,41051.6484375,-15137.8671875,9580.9609375,44915.765625,3420.676025390625,57435.390625,5870.09423828125,68820.6484375,45804.515625,7426.32421875,28161.083984375,76664.75,17729.720703125
74,8-Jan-13,13:00,28708.873046875,52095.2421875,-9508.666015625,22496.845703125,56540.53515625,4256.8408203125,80046.7265625,8521.041015625,92780.59375,55386.92578125,9338.9267578125,41375.3515625,77342.84375,15004.8427734375
75,8-Jan-13,13:30,28271.013671875,56963.77734375,-3840.20947265625,26687.8203125,59125.11328125,8293.6142578125,87698.234375,8701.103515625,99956.3671875,53340.49609375,17249.578125,41813.74609375,79165.328125,9223.947265625
76,8-Jan-13,14:00,38276.90234375,55090.8046875,8468.3056640625,32566.193359375,67524.6875,24835.5234375,105174.234375,47927.1015625,112501.2578125,92411.34375,18147.685546875,67427.6875,89630.03125,22199.203125
77,8-Jan-13,14:30,52582.16015625,57346.11328125,13603.4931640625,54583.3359375,80453.7265625,40405.953125,134073.40625,92734.9921875,144803.578125,153710.328125,18885.896484375,91719.59375,94155.1015625,34931.2734375
78,8-Jan-13,15:00,76095.59375,64666.65234375,22494.59375,72546.984375,96290.65625,44083.73828125,172943.0,107994.4609375,178280.59375,185736.375,23715.404296875,108238.875,96985.1796875,43642.05859375
79,8-Jan-13,15:30,69684.1484375,78446.6015625,31775.15625,70261.875,109454.296875,56667.08203125,182354.8125,127541.4375,188220.171875,191493.46875,30961.630859375,131268.375,104471.640625,53843.390625
80,8-Jan-13,16:00,77797.9140625,82061.5625,37157.078125,62579.9140625,121103.5703125,67475.2421875,194619.703125,143078.859375,188870.21875,203668.015625,38845.4375,146292.859375,112535.5546875,62386.9375
81,8-Jan-13,16:30,90581.8984375,87109.3515625,40963.5,78128.1953125,139852.515625,67692.65625,216179.765625,165987.0,217860.796875,237514.359375,45687.171875,149841.90625,118609.9921875,75462.5625
82,8-Jan-13,17:00,107212.5625,88410.015625,67482.5,105275.609375,154252.3125,86736.609375,251141.78125,231186.53125,252494.375,298502.375,51262.00390625,186011.90625,129790.078125,92947.953125
