Time,Time Varying Load 611.Single phase time-varying load1.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseA.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseB.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseC.P_measured,Time Varying Load 645.Single phase time-varying load645.P_measured,Time Varying Load 646.Single phase time-varying load646.P_measured,Time Varying Load 652.Single phase time-varying load652.P_measured,Time Varying Load 692.Single phase time-varying loadC.P_measured
319.5,38285.91796875,42007.9375,24173.794921875,33187.81640625,45862.46484375,56819.05078125,29201.111328125,36607.63671875
319.75,38288.8125,42007.953125,24173.77734375,33187.7421875,45871.44140625,56817.51171875,29214.978515625,36595.95703125
320.0,38288.984375,42007.9609375,24173.869140625,33187.84375,45868.46484375,56817.7734375,29214.853515625,36609.546875
320.25,38289.015625,42007.95703125,24173.818359375,33187.6953125,45854.8671875,56815.33984375,29217.634765625,36609.54296875
320.5,38229.98046875,41967.3671875,24152.6796875,33139.8203125,45819.2578125,56746.19140625,29187.166015625,36562.3828125
320.75,37287.7734375,42011.03515625,25174.916015625,31191.56640625,44864.26171875,58816.52734375,28217.126953125,37610.59375
321.0,37287.734375,42010.890625,25175.064453125,31191.78515625,44872.25,58812.94921875,28215.203125,37610.48828125
321.25,37287.75390625,42010.92578125,25175.060546875,31191.828125,44863.91796875,58801.4453125,28214.951171875,37610.25390625
321.5,37284.62109375,42010.9296875,25175.025390625,31192.1640625,44872.46484375,58810.3359375,28215.29296875,37610.96875
321.75,37283.9765625,42010.91796875,25175.068359375,31191.58203125,44858.3203125,58823.26171875,28200.388671875,37609.60546875
322.0,37287.4140625,42010.91796875,25175.06640625,31191.76171875,44866.359375,58822.50390625,28214.087890625,37597.1796875
322.25,37287.6796875,42010.8828125,25175.076171875,31192.060546875,44869.6640625,58815.08984375,28216.353515625,37611.0546875
322.5,37287.6171875,42010.890625,25175.0625,31191.537109375,44846.55078125,58817.265625,28216.505859375,37611.17578125
322.75,37287.26953125,45005.16015625,26176.693359375,30188.369140625,42862.515625,62823.625,26212.953125,36609.41015625
323.0,37287.5703125,45005.265625,26176.51953125,30187.958984375,42858.48828125,62820.16796875,26212.515625,36609.22265625
323.25,37287.7265625,45005.27734375,26176.51171875,30188.19140625,42861.12109375,62801.02734375,26212.626953125,36609.25390625
323.5,37287.5078125,45005.24609375,26176.5390625,30188.888671875,42863.08203125,62804.140625,26212.607421875,36609.0625
323.75,37288.296875,45005.234375,26176.552734375,30188.052734375,42859.12109375,62813.87890625,26212.82421875,36610.00390625
324.0,37283.5859375,45005.19921875,26176.548828125,30187.853515625,42860.45703125,62826.1796875,26198.67578125,36607.9375
324.25,37287.57421875,45005.203125,26176.55859375,30188.62109375,42858.50390625,62826.51953125,26211.98828125,36608.1015625
324.5,37287.61328125,45005.20703125,26176.53125,30188.26953125,42862.19140625,62819.328125,26213.55078125,36609.5859375
324.75,35285.08203125,46013.61328125,27177.775390625,32184.111328125,41857.91796875,65826.515625,27214.7421875,35608.31640625
325.0,35231.6328125,45970.10546875,27154.615234375,32137.916015625,41819.1875,65739.7578125,27185.951171875,35563.125
325.25,35284.7421875,46013.5546875,27177.95703125,32183.8828125,41864.25,65824.0625,27213.75,35607.8203125
325.5,35284.75390625,46013.5546875,27177.962890625,32183.705078125,41861.07421875,65829.1484375,27213.865234375,35607.87109375
325.75,35284.859375,46013.51953125,27177.962890625,32184.134765625,41862.2109375,65824.1171875,27213.5859375,35607.77734375
326.0,35285.51171875,46013.5078125,27177.9609375,32183.80078125,41860.03515625,65820.0859375,27213.775390625,35608.37890625
326.25,35280.8359375,46013.5234375,27177.9375,32184.052734375,41856.14453125,65830.765625,27199.44140625,35606.578125
326.5,35284.70703125,46013.5234375,27177.931640625,32183.97265625,41856.37890625,65829.8671875,27214.279296875,35594.703125
326.75,40289.484375,43021.73828125,26180.396484375,30190.154296875,36853.0859375,65825.0703125,26209.01171875,37611.9921875
327.0,40291.828125,43021.99609375,26180.255859375,30190.21875,36850.70703125,65828.3515625,26212.5625,37610.0703125
327.25,40228.875,42980.66015625,26157.66015625,30147.5859375,36818.28125,65742.53125,26185.458984375,37562.90625
327.5,40291.9921875,43021.96484375,26180.255859375,30190.24609375,36855.48828125,65827.125,26212.109375,37610.3515625
