Time,Time Varying Load 671.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadB.P_measured,Time Varying Load 671.Single phase time-varying loadA1.P_measured,Time Varying Load 671.Single phase time-varying loadA2.P_measured,Time Varying Load 675.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadC.P_measured
376.75,49010.9453125,8002.51220703125,38013.32421875,49999.81640625,60013.47265625,30009.515625
377.0,49011.4453125,8002.50341796875,38013.56640625,49998.1796875,60011.875,30009.68359375
377.25,49011.44140625,7999.955078125,38013.57421875,50012.17578125,60011.8515625,30009.6796875
377.5,49011.44140625,8002.50439453125,38013.56640625,50012.16796875,60011.83984375,30009.677734375
377.75,49011.4453125,8002.50634765625,38013.5703125,50012.1640625,60011.8359375,30009.673828125
378.0,48985.32421875,8002.50439453125,38013.58203125,50012.2421875,60011.9296875,30003.39453125
378.25,49011.3359375,8002.49658203125,38013.5546875,50012.18359375,60011.76171875,30009.677734375
378.5,49011.421875,8002.50537109375,37998.4609375,50012.203125,60011.84375,30009.69921875
378.75,50011.828125,7002.18603515625,37998.453125,49012.0390625,58980.12109375,33010.6484375
379.0,50011.53125,7002.19140625,38008.1640625,48999.1796875,59011.33203125,33010.66015625
379.25,50011.6484375,7002.19140625,38013.56640625,49011.90234375,59011.58203125,33010.640625
379.5,50011.671875,7002.1923828125,38013.56640625,49011.92578125,59011.63671875,33010.64453125
379.75,50011.671875,7002.19287109375,38013.56640625,49011.92578125,59011.640625,33010.64453125
380.0,50011.6796875,7002.193359375,38013.5703125,49011.91796875,59011.63671875,33010.640625
380.25,50011.32421875,7002.18701171875,38013.57421875,49011.96875,59011.6328125,33003.73046875
380.5,50011.5546875,7002.18505859375,38013.5625,49011.953125,59011.5390625,32999.8125
380.75,48011.203125,9002.8125,41014.6328125,47011.41796875,55010.765625,31010.00390625
381.0,48011.29296875,9002.814453125,40998.34375,46999.34765625,54981.4296875,31010.02734375
381.25,48011.1953125,9002.81640625,41008.8046875,46998.25,55010.859375,31010.005859375
381.5,48011.19921875,9002.81640625,41014.640625,47011.44921875,55010.86328125,31010.005859375
381.75,48011.20703125,8999.94921875,41014.64453125,47011.4375,55010.8515625,31009.998046875
382.0,48011.203125,9002.818359375,41014.63671875,47011.4375,55010.85546875,31010.0
382.25,48011.2109375,9002.8193359375,41014.640625,47011.4296875,55010.8515625,31009.99609375
382.5,48010.86328125,9002.8115234375,41014.64453125,47011.48046875,55010.84375,31003.5
382.75,47010.87890625,11003.4345703125,41014.62890625,48011.6796875,59011.59765625,29009.34375
383.0,47010.9453125,11003.4365234375,41014.62109375,48011.67578125,59011.66015625,29009.33984375
383.25,47010.8359375,11003.44921875,40998.33984375,47999.21875,59011.3515625,29009.38671875
383.5,47010.9453125,11003.4404296875,41014.63671875,48011.6640625,59011.58984375,29009.34765625
383.75,47010.96484375,11003.4423828125,41014.640625,48011.69140625,59011.65625,29009.361328125
384.0,47010.96484375,10999.939453125,41014.64453125,48011.66796875,59011.609375,29009.3515625
384.25,47010.96875,11003.4423828125,41014.63671875,48011.6796875,59011.640625,29009.35546875
384.5,46988.28515625,10986.2587890625,40926.2109375,47981.5859375,59011.3828125,28960.12890625
384.75,122027.7890625,30002.720703125,112994.703125,126000.84375,146033.4375,86027.421875
