Time,Node 646.V2_rms,Node 646.V3_rms,Node 652.V1_rms,Node 671.V1_rms,Node 671.V2_rms,Node 671.V3_rms,Node 675.V1_rms,Node 675.V2_rms,Node 675.V3_rms,UpperBound,LowerBound
270.5,2462.50341796875,2461.272216796875,2478.509521484375,2478.541015625,2457.0927734375,2458.923095703125,2479.215576171875,2456.962890625,2458.91259765625,2522.0,2282.0
270.75,2461.17333984375,2461.2802734375,2479.845458984375,2479.88037109375,2457.0927734375,2460.251708984375,2480.55517578125,2456.963134765625,2460.2412109375,2522.0,2282.0
271.0,2461.17333984375,2461.273193359375,2478.506103515625,2478.540771484375,2457.093017578125,2458.923095703125,2479.21533203125,2456.963134765625,2458.91259765625,2522.0,2282.0
271.25,2461.173583984375,2461.279541015625,2478.498779296875,2478.53564453125,2457.09326171875,2458.922607421875,2479.209716796875,2456.96337890625,2458.912109375,2522.0,2282.0
271.5,2461.17333984375,2461.279541015625,2478.5029296875,2478.541015625,2457.0927734375,2458.923095703125,2479.21533203125,2456.963134765625,2458.91259765625,2522.0,2282.0
271.75,2461.2578125,2461.189208984375,2476.381103515625,2476.761474609375,2457.21728515625,2458.606689453125,2477.357666015625,2457.007080078125,2458.662109375,2522.0,2282.0
272.0,2461.2578125,2461.204833984375,2476.3974609375,2476.76123046875,2457.21728515625,2458.606689453125,2477.357666015625,2457.007080078125,2458.662109375,2522.0,2282.0
272.25,2461.2578125,2462.5263671875,2476.38671875,2476.760498046875,2457.21728515625,2458.606689453125,2477.35693359375,2457.007080078125,2458.662109375,2522.0,2282.0
272.5,2461.2578125,2462.517333984375,2476.3896484375,2476.760498046875,2457.21728515625,2458.6064453125,2477.35693359375,2457.007080078125,2458.661865234375,2522.0,2282.0
272.75,2462.587890625,2461.20361328125,2476.393798828125,2476.761474609375,2457.217529296875,2458.606689453125,2477.357666015625,2457.00732421875,2458.662109375,2522.0,2282.0
273.0,2461.2578125,2461.192138671875,2477.730224609375,2478.099609375,2457.21728515625,2458.606689453125,2478.6962890625,2457.007080078125,2459.99072265625,2522.0,2282.0
273.25,2461.259765625,2461.199951171875,2476.393798828125,2476.761474609375,2457.217041015625,2458.605712890625,2477.357666015625,2457.007080078125,2458.6611328125,2522.0,2282.0
273.5,2461.2578125,2461.182373046875,2476.3876953125,2476.76123046875,2457.216796875,2458.6064453125,2477.357421875,2457.006591796875,2458.661865234375,2522.0,2282.0
273.75,2461.20654296875,2461.085205078125,2475.65673828125,2475.590576171875,2456.863525390625,2459.750244140625,2476.064208984375,2456.55908203125,2460.080810546875,2522.0,2282.0
274.0,2461.206787109375,2461.100341796875,2475.662841796875,2475.590576171875,2456.863525390625,2459.750732421875,2476.064453125,2456.55908203125,2460.081298828125,2522.0,2282.0
274.25,2461.205322265625,2461.074462890625,2475.67041015625,2475.590576171875,2456.863525390625,2459.750732421875,2476.064453125,2456.55908203125,2460.081298828125,2522.0,2282.0
274.5,2461.206787109375,2462.422607421875,2475.674072265625,2475.59033203125,2458.191162109375,2459.750732421875,2476.06396484375,2457.88671875,2460.081298828125,2522.0,2282.0
274.75,2461.204833984375,2462.414306640625,2475.668212890625,2475.59033203125,2458.191162109375,2459.75048828125,2476.06396484375,2457.88671875,2460.0810546875,2522.0,2282.0
275.0,2462.53466796875,2461.08349609375,2476.996337890625,2476.928466796875,2456.863525390625,2459.750732421875,2477.402587890625,2456.55908203125,2460.081298828125,2522.0,2282.0
275.25,2461.204833984375,2461.083251953125,2475.68505859375,2475.590576171875,2456.863525390625,2459.750732421875,2476.064453125,2456.55908203125,2460.0810546875,2522.0,2282.0
275.5,2461.206298828125,2461.095703125,2475.675537109375,2475.58984375,2456.863037109375,2459.748779296875,2476.063720703125,2456.558837890625,2460.0791015625,2522.0,2282.0
275.75,2461.226318359375,2461.1552734375,2474.888427734375,2474.469970703125,2457.570556640625,2459.135009765625,2474.760986328125,2457.4111328125,2459.4990234375,2522.0,2282.0
276.0,2461.222900390625,2461.16748046875,2474.897216796875,2474.47314453125,2457.570068359375,2459.13671875,2474.764404296875,2457.41064453125,2459.501220703125,2522.0,2282.0
276.25,2461.222900390625,2461.155517578125,2474.891357421875,2474.47314453125,2457.5703125,2459.13623046875,2474.76416015625,2457.410888671875,2459.50048828125,2522.0,2282.0
276.5,2461.222900390625,2461.154296875,2474.89990234375,2474.47314453125,2457.5703125,2459.13623046875,2474.76416015625,2457.410888671875,2459.50048828125,2522.0,2282.0
276.75,2461.222900390625,2462.490234375,2474.89892578125,2474.47265625,2457.5703125,2459.135986328125,2474.763671875,2457.410888671875,2459.500244140625,2522.0,2282.0
277.0,2462.552978515625,2461.160400390625,2474.904052734375,2474.47265625,2457.5703125,2459.135986328125,2474.763671875,2457.410888671875,2459.50048828125,2522.0,2282.0
277.25,2462.552978515625,2461.169189453125,2474.899658203125,2474.47314453125,2457.5703125,2459.13623046875,2474.76416015625,2457.41064453125,2459.50048828125,2522.0,2282.0
277.5,2461.222900390625,2461.15966796875,2476.22900390625,2475.810302734375,2457.5703125,2459.13623046875,2476.1015625,2457.410888671875,2459.50048828125,2522.0,2282.0
277.75,2461.239501953125,2461.113037109375,2471.997314453125,2471.899169921875,2458.145263671875,2460.368896484375,2472.13232421875,2457.996826171875,2460.85498046875,2522.0,2282.0
278.0,2461.239501953125,2461.12109375,2471.984619140625,2471.899658203125,2458.144775390625,2460.370849609375,2472.1328125,2457.996337890625,2460.857177734375,2522.0,2282.0
278.25,2461.239501953125,2461.128173828125,2471.991943359375,2471.899658203125,2458.145263671875,2460.371337890625,2472.1328125,2457.996826171875,2460.857666015625,2522.0,2282.0
278.5,2461.239501953125,2461.112060546875,2471.9775390625,2471.89990234375,2458.145263671875,2460.371337890625,2472.1328125,2457.996826171875,2460.857666015625,2522.0,2282.0
278.75,2461.2412109375,2461.111328125,2471.9970703125,2471.899658203125,2458.145263671875,2460.371337890625,2472.1328125,2457.996826171875,2460.857666015625,2522.0,2282.0
279.0,2461.239501953125,2462.44970703125,2471.985595703125,2471.8994140625,2458.145263671875,2460.371337890625,2472.132568359375,2457.996826171875,2460.857666015625,2522.0,2282.0
279.25,2461.239501953125,2462.4580078125,2471.973876953125,2471.8994140625,2458.145263671875,2460.371337890625,2472.132568359375,2457.996826171875,2460.857666015625,2522.0,2282.0
279.5,2462.569580078125,2461.13623046875,2471.980224609375,2471.899169921875,2458.145263671875,2461.700927734375,2472.13232421875,2457.996826171875,2462.1875,2522.0,2282.0
279.75,2461.34375,2461.225341796875,2474.951904296875,2474.876708984375,2457.507568359375,2458.8203125,2476.643310546875,2457.380615234375,2460.362060546875,2522.0,2282.0
280.0,2461.345458984375,2461.215576171875,2474.95556640625,2474.872314453125,2457.5078125,2458.8193359375,2475.301025390625,2457.380859375,2459.0322265625,2522.0,2282.0
280.25,2461.34375,2461.213134765625,2474.963623046875,2474.873046875,2457.508056640625,2458.818603515625,2475.3017578125,2457.381103515625,2459.03125,2522.0,2282.0
280.5,2461.343994140625,2461.235107421875,2474.966796875,2474.876708984375,2457.507568359375,2458.8203125,2475.3056640625,2457.380615234375,2459.033203125,2522.0,2282.0
280.75,2461.34326171875,2461.213623046875,2474.96435546875,2474.876708984375,2457.507568359375,2458.8203125,2475.3056640625,2457.380615234375,2459.033203125,2522.0,2282.0
281.0,2461.347412109375,2461.22021484375,2474.96630859375,2474.876708984375,2457.5078125,2458.8203125,2475.3056640625,2457.380615234375,2459.033203125,2522.0,2282.0
