Time,Node 680.V1_rms,Node 680.V2_rms,Node 680.V3_rms,Node 684.V1_rms,Node 684.V3_rms,Node 692.V1_rms,Node 692.V2_rms,Node 692.V3_rms,UpperBound,LowerBound
408.0,2346.181396484375,2446.892822265625,2420.839599609375,2345.262451171875,2418.1728515625,2346.181396484375,2446.892822265625,2420.839599609375,2522.0,2282.0
408.25,2346.1796875,2446.89013671875,2419.538330078125,2345.260986328125,2418.17919921875,2346.1796875,2446.89013671875,2419.538330078125,2522.0,2282.0
408.5,2346.181640625,2446.889892578125,2419.531982421875,2345.262939453125,2418.1728515625,2346.181640625,2446.889892578125,2419.531982421875,2522.0,2282.0
408.75,2348.5849609375,2446.1259765625,2419.2568359375,2347.700927734375,2417.863525390625,2348.5849609375,2446.1259765625,2419.2568359375,2522.0,2282.0
409.0,2347.313232421875,2446.124267578125,2419.254638671875,2346.4296875,2417.861328125,2347.313232421875,2446.124267578125,2419.254638671875,2522.0,2282.0
409.25,2347.32080078125,2446.12646484375,2419.257568359375,2346.437744140625,2417.864013671875,2347.32080078125,2446.12646484375,2419.257568359375,2522.0,2282.0
409.5,2347.31103515625,2446.126220703125,2419.254638671875,2346.42724609375,2417.861083984375,2347.31103515625,2446.126220703125,2419.254638671875,2522.0,2282.0
409.75,2347.310546875,2446.126220703125,2419.254638671875,2346.427001953125,2417.861083984375,2347.310546875,2446.126220703125,2419.254638671875,2522.0,2282.0
410.0,2347.310546875,2446.128662109375,2419.254638671875,2346.427001953125,2417.861083984375,2347.310546875,2446.128662109375,2419.254638671875,2522.0,2282.0
410.25,2347.321044921875,2446.129150390625,2419.254638671875,2346.4375,2417.861083984375,2347.321044921875,2446.129150390625,2419.254638671875,2522.0,2282.0
410.5,2347.30859375,2446.12646484375,2419.260986328125,2346.425048828125,2417.86767578125,2347.30859375,2446.12646484375,2419.260986328125,2522.0,2282.0
410.75,2346.341796875,2446.0126953125,2420.319091796875,2345.4853515625,2418.986572265625,2346.341796875,2446.0126953125,2420.319091796875,2522.0,2282.0
411.0,2346.348388671875,2447.334228515625,2420.3212890625,2345.491943359375,2418.98876953125,2346.348388671875,2447.334228515625,2420.3212890625,2522.0,2282.0
411.25,2346.347900390625,2446.012451171875,2420.3212890625,2345.4912109375,2418.98876953125,2346.347900390625,2446.012451171875,2420.3212890625,2522.0,2282.0
411.5,2346.37646484375,2446.01220703125,2420.318603515625,2345.519775390625,2418.986083984375,2346.37646484375,2446.01220703125,2420.318603515625,2522.0,2282.0
411.75,2346.342041015625,2446.012939453125,2420.319091796875,2345.4853515625,2418.986572265625,2346.342041015625,2446.012939453125,2420.319091796875,2522.0,2282.0
412.0,2346.341796875,2446.012939453125,2420.31884765625,2345.4853515625,2418.986328125,2346.341796875,2446.012939453125,2420.31884765625,2522.0,2282.0
412.25,2346.341796875,2446.0126953125,2420.31884765625,2345.485107421875,2418.986328125,2346.341796875,2446.0126953125,2420.31884765625,2522.0,2282.0
412.5,2346.3515625,2446.01611328125,2420.3251953125,2345.4951171875,2418.99267578125,2346.3515625,2446.01611328125,2420.3251953125,2522.0,2282.0
412.75,2345.2392578125,2446.400634765625,2420.555908203125,2344.379638671875,2419.2548828125,2345.2392578125,2446.400634765625,2420.555908203125,2522.0,2282.0
413.0,2345.241455078125,2446.400634765625,2420.555419921875,2344.382080078125,2419.25439453125,2345.241455078125,2446.400634765625,2420.555419921875,2522.0,2282.0
413.25,2346.509033203125,2446.400634765625,2420.55517578125,2345.64892578125,2419.254150390625,2346.509033203125,2446.400634765625,2420.55517578125,2522.0,2282.0
413.5,2345.248291015625,2446.398681640625,2420.5576171875,2344.388916015625,2419.256591796875,2345.248291015625,2446.398681640625,2420.5576171875,2522.0,2282.0
413.75,2345.25830078125,2446.404296875,2420.558837890625,2344.399169921875,2419.2578125,2345.25830078125,2446.404296875,2420.558837890625,2522.0,2282.0
414.0,2345.241943359375,2446.400634765625,2420.55517578125,2344.382568359375,2419.254150390625,2345.241943359375,2446.400634765625,2420.55517578125,2522.0,2282.0
414.25,2345.24169921875,2446.400634765625,2420.55517578125,2344.382080078125,2419.254150390625,2345.24169921875,2446.400634765625,2420.55517578125,2522.0,2282.0
414.5,2345.241455078125,2446.403076171875,2421.86328125,2344.382080078125,2420.5615234375,2345.241455078125,2446.403076171875,2421.86328125,2522.0,2282.0
414.75,2344.845458984375,2446.523193359375,2421.40576171875,2343.9833984375,2420.13671875,2344.845458984375,2446.523193359375,2421.40576171875,2522.0,2282.0
415.0,2344.84521484375,2446.52001953125,2421.406005859375,2343.98291015625,2420.13671875,2344.84521484375,2446.52001953125,2421.406005859375,2522.0,2282.0
