Time,Time Varying Load 611.Single phase time-varying load1.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseA.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseB.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseC.P_measured,Time Varying Load 645.Single phase time-varying load645.P_measured,Time Varying Load 646.Single phase time-varying load646.P_measured,Time Varying Load 652.Single phase time-varying load652.P_measured,Time Varying Load 692.Single phase time-varying loadC.P_measured
275.5,-11999.92578125,-1000.1931762695312,-3001.385009765625,-10007.720703125,-2000.641357421875,-6002.1259765625,-1000.1987915039062,-7001.69775390625
275.75,-7999.955078125,-0.0,-5003.06982421875,-10004.703125,-1000.2989501953125,-8002.8779296875,-3998.6484375,-8001.94091796875
276.0,-7989.03466796875,-0.0,-4995.248046875,-9987.826171875,-998.7509155273438,-7984.4794921875,-4000.775634765625,-7997.0341796875
276.25,-8002.5849609375,0.0,-5003.0673828125,-10004.7255859375,-1000.3153686523438,-8002.87109375,-4000.790771484375,-8001.9453125
276.5,-8002.5849609375,0.0,-5003.06787109375,-10004.7236328125,-1000.3078002929688,-8002.8427734375,-4000.790771484375,-8001.94482421875
276.75,-8002.583984375,0.0,-5003.068359375,-10004.7177734375,-1000.3173217773438,-8002.83447265625,-4000.7900390625,-8001.94287109375
277.0,-8002.5830078125,0.0,-5003.0693359375,-10004.7138671875,-999.9945068359375,-8002.8525390625,-4000.790283203125,-7999.7041015625
277.25,-8002.58203125,0.0,-5003.06982421875,-10004.720703125,-1000.3184204101562,-8002.86767578125,-4000.79052734375,-8001.94140625
277.5,-8002.58203125,0.0,-5003.06982421875,-10004.71484375,-1000.3172607421875,-8002.828125,-4000.79052734375,-8001.94140625
277.75,-11001.201171875,3998.089599609375,-6003.25634765625,-10004.751953125,-2000.628662109375,-7002.49658203125,-1000.2070922851562,-10002.435546875
278.0,-11003.5478515625,3998.0830078125,-6003.25830078125,-10004.765625,-2000.6068115234375,-7002.47265625,-1000.1986694335938,-10002.427734375
278.25,-10984.9296875,3998.0673828125,-5993.87109375,-9987.8828125,-1997.480712890625,-6984.58642578125,-1000.19384765625,-9996.2861328125
