SimHour,Node646B_ActivePower_kW,Node646B_RMSVoltage_V
15.6875,13.7592919921875,2458.81030273438
15.75,13.7608740234375,2459.4775390625
15.8125,13.7587939453125,2459.47631835938
15.875,13.7526279296875,2459.48364257812
15.9375,13.7594365234375,2459.47778320312
16,13.75571875,2459.47924804688
16.0625,13.762638671875,2459.4775390625
16.125,13.7659482421875,2459.47802734375
16.1875,13.7437373046875,2459.47778320312
16.25,14.7582001953125,2459.54541015625
16.3125,14.7607607421875,2459.54956054688
16.375,14.7633486328125,2459.5439453125
16.4375,14.7577431640625,2459.54711914062
16.5,14.75865234375,2459.54565429688
16.5625,14.76052734375,2459.54565429688
16.625,14.76515234375,2460.87475585938
16.6875,14.7630986328125,2459.54565429688
16.75,15.760720703125,2459.51245117188
16.8125,15.7601494140625,2459.5126953125
16.875,15.7599794921875,2459.51098632812
16.9375,15.764626953125,2459.51391601562
17,15.760435546875,2459.51245117188
17.0625,15.7587919921875,2459.5107421875
17.125,15.762974609375,2459.5107421875
17.1875,15.76250390625,2459.50952148438
17.25,14.7638447265625,2459.39086914062
17.3125,14.74544921875,2459.39135742188
17.375,14.7619130859375,2459.39184570312
17.4375,14.7583662109375,2459.39331054688
17.5,14.7599833984375,2459.39306640625
17.5625,14.7595185546875,2459.39306640625
17.625,14.7570498046875,2459.3916015625
17.6875,14.7578994140625,2459.39184570312
17.75,15.75656640625,2459.5107421875
17.8125,15.7641982421875,2459.50927734375
17.875,15.7476572265625,2459.5107421875
17.9375,15.76153515625,2459.5107421875
18,15.76425390625,2459.51220703125
18.0625,15.767482421875,2459.51416015625
18.125,15.7600009765625,2459.51147460938
18.1875,15.760427734375,2459.5126953125
18.25,16.764318359375,2459.8369140625
18.3125,16.765482421875,2459.83520507812
18.375,16.762263671875,2459.83520507812
18.4375,16.76126953125,2459.83544921875
18.5,16.764857421875,2459.83715820312
18.5625,16.765236328125,2459.83715820312
18.625,16.768162109375,2459.83520507812
18.6875,16.757626953125,2459.8369140625
18.75,16.760267578125,2459.52758789062
18.8125,16.76344921875,2459.52734375
18.875,16.76366796875,2459.52661132812
18.9375,16.7670703125,2459.52734375
19,16.765296875,2459.52563476562
19.0625,16.759251953125,2459.525390625
19.125,16.764349609375,2459.52734375
19.1875,16.76809765625,2459.52783203125
19.25,2.74682275390625,2459.09155273438
19.3125,2.75036059570313,2459.09033203125
19.375,2.74966162109375,2459.09350585938
19.4375,2.74660180664063,2459.09057617188
19.5,2.75059765625,2459.09008789062
19.5625,2.74363647460937,2459.09057617188
19.625,2.74842822265625,2458.93798828125
19.6875,2.74564575195313,2458.935546875
19.75,2.74948657226563,2458.9365234375
19.8125,2.74391845703125,2458.93408203125
19.875,2.75007348632812,2458.93725585938
19.9375,2.75105493164062,2458.94018554688
20,2.74112744140625,2458.9384765625
20.0625,2.74967163085938,2458.9365234375
20.125,3.75136206054687,2458.49072265625
20.1875,3.75108178710938,2458.48950195312
20.25,3.74958642578125,2458.4921875
20.3125,3.746986328125,2458.49096679688
20.375,3.74426440429687,2458.49096679688
20.4375,3.75147924804687,2458.49096679688
20.5,3.7530888671875,2458.49072265625
20.5625,3.74405493164062,2458.49072265625
20.625,2.74903247070313,2457.96044921875
20.6875,2.75043041992188,2457.96044921875
20.75,2.74933813476563,2457.962890625
20.8125,2.74695263671875,2457.96020507812
20.875,2.74846850585938,2457.96044921875
20.9375,2.74677319335937,2457.96044921875
21,2.74894750976563,2457.96044921875
21.0625,2.75072924804687,2457.96411132812
21.125,3.74731005859375,2457.72021484375
21.1875,3.74669213867187,2457.71801757812
21.25,3.75202172851563,2457.72021484375
21.3125,3.753099609375,2457.72094726562
21.375,3.75206958007813,2457.72265625
21.4375,3.75250927734375,2457.72021484375
21.5,3.75153149414062,2457.7216796875
21.5625,3.7537841796875,2457.72216796875
21.625,3.75333618164063,2457.15698242188
21.6875,3.74919165039063,2457.15454101562
21.75,3.74905053710938,2457.15844726562
21.8125,3.75044946289063,2457.15649414062
21.875,3.74793334960937,2457.15600585938
21.9375,3.74967358398438,2457.154296875
22,3.746771484375,2457.15649414062
22.0625,3.746763671875,2457.15551757812
22.125,4.75450439453125,2456.451171875
22.1875,4.75359814453125,2456.45141601562
22.25,4.74551708984375,2456.45068359375
22.3125,4.74992578125,2456.451171875
22.375,4.7510947265625,2456.451171875
22.4375,4.7490859375,2456.45336914062
22.5,4.753197265625,2456.4521484375
22.5625,4.7498095703125,2456.451171875
22.625,5.749751953125,2455.6953125
22.6875,5.7569140625,2455.69506835938
22.75,5.7498251953125,2455.6982421875
22.8125,5.7497822265625,2455.6962890625
22.875,5.75156494140625,2455.69750976562
22.9375,5.749375,2455.69750976562
23,5.75497216796875,2455.69702148438
23.0625,5.747427734375,2455.69702148438
23.125,5.75380029296875,2454.974609375
23.1875,5.74920458984375,2454.974609375
23.25,5.7520087890625,2454.974609375
23.3125,5.7505107421875,2454.97607421875
23.375,5.7497412109375,2454.974609375
23.4375,5.7489013671875,2454.9755859375
23.5,5.75972802734375,2454.97631835938
23.5625,5.7532548828125,2454.97607421875
23.625,6.7560751953125,2454.373046875
23.6875,6.75271240234375,2454.373046875
23.75,6.75359326171875,2454.37451171875
23.8125,6.75208154296875,2454.3740234375
23.875,6.75282861328125,2454.37475585938
23.9375,6.7450888671875,2454.373046875
24,6.74822314453125,2454.37158203125
24.0625,6.75094921875,2454.373046875
24.125,6.751890625,2454.2724609375
24.1875,6.75090966796875,2454.26977539062
24.25,6.752146484375,2454.271484375
24.3125,6.7512333984375,2454.26977539062
24.375,6.75375537109375,2454.26977539062
24.4375,6.74833349609375,2454.27001953125
24.5,6.74475830078125,2454.27001953125
24.5625,6.75074755859375,2454.27075195312
24.625,7.75212451171875,2454.18359375
24.6875,7.75574609375,2454.1845703125
24.75,7.7540419921875,2454.18334960938
24.8125,7.74967724609375,2454.18359375
24.875,7.75487353515625,2454.18530273438
24.9375,7.7483916015625,2454.18334960938
25,7.75156298828125,2454.185546875
25.0625,7.75104345703125,2454.18359375
25.125,50.80589453125,2453.4052734375
25.1875,50.8094453125,2453.40454101562
25.25,50.79329296875,2453.408203125
25.3125,50.7951328125,2453.40747070312
25.375,50.81036328125,2453.40649414062
25.4375,50.80403515625,2453.4052734375
25.5,50.80719921875,2453.4052734375
25.5625,50.80480078125,2454.73095703125
25.625,53.8039609375,2453.6083984375
25.6875,53.8105,2453.61010742188
25.75,53.81321484375,2453.60961914062
25.8125,53.80291796875,2453.61083984375
25.875,53.79259765625,2453.61206054688
25.9375,53.81040625,2453.611328125
26,53.74413671875,2453.60986328125
26.0625,53.80816796875,2453.609375
26.125,53.81263671875,2454.93774414062
26.1875,53.748203125,2453.60961914062
26.25,53.8110625,2453.60961914062
26.3125,53.81326953125,2453.60961914062
26.375,53.80396484375,2453.61181640625
26.4375,53.7951953125,2453.60986328125
26.5,53.80650390625,2453.61059570312
26.5625,53.81244921875,2453.60815429688
26.625,53.80984375,2453.66137695312
26.6875,53.80541796875,2454.98315429688
26.75,53.80973828125,2453.66137695312
26.8125,53.8113515625,2453.6611328125
26.875,53.81500390625,2453.662109375
