Step,SimHour,Battery646_kW,BatteryAction,SoC_Predicted_pct,SoC_Measured_pct,SoC_Error_pctPoint
140,70,36.6716,Discharge,3.0824,2.76,-0.3224
141,70.5,7.8431,Discharge,2.3755,1.08,-1.2955
142,71,1.3887,Discharge,1.0119,0.73,-0.2819
143,71.5,-4.632,Charge,0.9571,0.71,-0.2471
144,72,-11.8693,Charge,1.2918,0.99,-0.3018
145,72.5,-19.8483,Charge,1.963,1.61,-0.353
146,73,-20.66,Charge,2.6227,2.6,-0.0226999999999999
147,73.5,-24.4772,Charge,3.7999,3.65,-0.1499
148,74,-25.049,Charge,4.8779,4.83,-0.0479000000000003
149,74.5,-23.175,Charge,5.966,6.04,0.0739999999999998
150,75,-29.8518,Charge,7.5033,7.2,-0.3033
151,75.5,-29.5009,Charge,8.6461,8.67,0.0238999999999994
152,76,-29.8587,Charge,10.1337,10.15,0.0163000000000011
153,76.5,-31.6884,Charge,11.7034,11.63,-0.0733999999999995
154,77,-32.127,Charge,13.2049,13.19,-0.0149000000000008
155,77.5,-24.7169,Charge,14.4016,14.73,0.3284
156,78,-19.2589,Charge,15.6741,15.93,0.2559
157,78.5,-13.5192,Charge,16.5927,16.83,0.237299999999998
158,79,-15.4785,Charge,17.5887,17.52,-0.0686999999999998
159,79.5,14.5613,Discharge,16.8062,18.11,1.3038
160,80,8.4654,Discharge,17.695,17.41,-0.285
161,80.5,4.0552,Discharge,17.2112,17.04,-0.171200000000002
162,81,3.1,Discharge,16.888,16.85,-0.0380000000000003
163,81.5,5.2919,Discharge,16.5906,16.69,0.0994000000000028
164,82,-5.6095,Charge,16.965,16.5,-0.465
165,82.5,-17.1251,Charge,17.3395,16.85,-0.4895
166,83,-13.5409,Charge,17.5138,17.66,0.1462
167,83.5,-24.011,Charge,18.837,18.4,-0.437000000000001
168,84,-20.6337,Charge,19.4115,19.56,0.148499999999999
169,84.5,-28.0673,Charge,20.9358,20.63,-0.305800000000001
170,85,-26.2846,Charge,21.9185,21.99,0.0714999999999968
171,85.5,-22.9843,Charge,23.1167,23.25,0.133299999999998
172,86,-18.869,Charge,24.1749,24.36,0.185099999999998
173,86.5,0.3825,Idle,24.3412,25.19,0.848800000000001
174,87,-1.0187,Charge,25.2399,25.2,-0.0398999999999994
175,87.5,-1.4143,Charge,25.2693,25.25,-0.0193000000000012
176,88,6.1351,Discharge,24.9493,25.26,0.310700000000001
177,88.5,6.7503,Discharge,24.9291,24.96,0.0309000000000026
178,89,12.2814,Discharge,24.358,24.6,0.242000000000001
179,89.5,28.8176,Discharge,23.1874,23.92,0.732600000000001
180,90,42.2793,Discharge,21.8475,22.44,0.592500000000001
181,90.5,49.6135,Discharge,20.008,20.34,0.332000000000001
182,91,53.279,Discharge,17.7283,17.87,0.1417
183,91.5,63.3216,Discharge,14.766,15.23,0.464
184,92,67.7568,Discharge,11.9086,12.11,0.2014
185,92.5,52.2545,Discharge,9.5485,8.86,-0.688500000000001
186,93,51.0096,Discharge,6.3595,6.32,-0.0394999999999994
187,93.5,46.8027,Discharge,4.0257,3.84,-0.1857
188,94,37.7079,Discharge,1.9916,1.58,-0.4116
189,94.5,5.453,Discharge,1.3127,0,-1.3127
190,95,-2.454,Charge,0.1203,0,-0.1203
191,95.5,-6.3687,Charge,0.3122,0.12,-0.1922
192,96,-15.1332,Charge,0.8618,0.46,-0.4018
