Time,Node 646.V2_rms,Node 646.V3_rms,Node 652.V1_rms,Node 671.V1_rms,Node 671.V2_rms,Node 671.V3_rms,Node 675.V1_rms,Node 675.V2_rms,Node 675.V3_rms,UpperBound,LowerBound
390.25,2456.04296875,2461.683837890625,2376.811767578125,2379.645751953125,2441.643798828125,2402.511474609375,2375.065673828125,2442.239501953125,2403.235595703125,2522.0,2282.0
390.5,2453.96533203125,2460.635009765625,2322.10498046875,2325.414794921875,2436.763916015625,2387.215576171875,2320.5166015625,2437.580078125,2387.155029296875,2522.0,2282.0
390.75,2453.96533203125,2460.635498046875,2322.045166015625,2326.640380859375,2436.764404296875,2387.21923828125,2320.4833984375,2437.580322265625,2387.15966796875,2522.0,2282.0
391.0,2453.96533203125,2460.624755859375,2322.04541015625,2325.379150390625,2436.7646484375,2387.220458984375,2320.47900390625,2437.580810546875,2387.16064453125,2522.0,2282.0
391.25,2453.96533203125,2460.6201171875,2322.056396484375,2325.37841796875,2436.775634765625,2387.221435546875,2320.478271484375,2438.908935546875,2388.451904296875,2522.0,2282.0
391.5,2453.962890625,2460.626953125,2322.056640625,2325.3798828125,2436.763916015625,2387.220703125,2320.4794921875,2437.580078125,2387.1611328125,2522.0,2282.0
391.75,2453.96533203125,2460.6298828125,2322.056884765625,2325.3916015625,2436.76611328125,2387.2421875,2320.491943359375,2437.58154296875,2387.18408203125,2522.0,2282.0
392.0,2453.965087890625,2460.619873046875,2322.049072265625,2325.385986328125,2436.760986328125,2387.22802734375,2320.48583984375,2437.576416015625,2387.16845703125,2522.0,2282.0
392.25,2453.96533203125,2460.638916015625,2322.08203125,2325.40283203125,2436.7666015625,2388.51025390625,2320.50244140625,2437.582763671875,2387.16064453125,2522.0,2282.0
392.5,2453.7958984375,2460.78369140625,2318.867919921875,2322.0869140625,2437.49072265625,2387.12646484375,2316.948974609375,2438.3427734375,2387.2861328125,2522.0,2282.0
