Time,Time Varying Load 611.Single phase time-varying load1.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseA.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseB.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseC.P_measured,Time Varying Load 645.Single phase time-varying load645.P_measured,Time Varying Load 646.Single phase time-varying load646.P_measured,Time Varying Load 652.Single phase time-varying load652.P_measured,Time Varying Load 692.Single phase time-varying loadC.P_measured
389.0,53017.109375,68013.171875,36016.85546875,45014.5234375,60999.921875,85030.5234375,43008.37890625,53012.91796875
389.25,53006.00390625,68013.171875,36016.86328125,45014.515625,61019.12109375,85030.4296875,43008.31640625,52999.28125
389.5,53017.03125,68013.171875,36016.8671875,45014.51171875,61019.51171875,85030.2890625,43008.50390625,52998.11328125
389.75,53017.09375,68013.171875,36016.87109375,45014.5078125,61019.3984375,84996.34375,43008.4609375,53013.03515625
390.0,52926.78125,68012.9140625,35960.5390625,44938.5390625,60923.296875,84835.53125,43008.375,52977.5625
390.25,53017.1328125,68013.171875,36016.84375,45014.5390625,61018.56640625,85030.5859375,43008.43359375,53013.046875
390.5,55017.85546875,67028.21875,36016.578125,44024.0234375,59018.21484375,86030.734375,42008.2734375,55013.62109375
390.75,55017.71484375,67028.2265625,36016.58203125,44024.0234375,59018.5859375,86031.0,41986.5,55013.90234375
391.0,55017.7578125,67028.21875,36016.5859375,44024.01953125,58999.89453125,86030.8671875,42008.19140625,55013.41015625
391.25,55017.87890625,67028.21875,36016.58984375,44024.015625,59018.171875,86031.0390625,42008.38671875,55013.72265625
391.5,55006.2265625,67028.21875,36016.59375,44024.0078125,59018.25390625,86030.828125,42008.1171875,54999.25
391.75,55017.6484375,67028.21875,36016.59765625,44024.00390625,59018.234375,86030.7265625,42008.23046875,55013.4609375
392.0,55017.765625,67028.2265625,36016.57421875,44024.03515625,59018.6171875,86030.8984375,42008.08203125,55013.5625
392.25,55017.734375,65032.6796875,37014.359375,46014.765625,57017.71875,86030.3828125,43007.60546875,54013.10546875
392.5,55017.72265625,65032.6796875,37014.35546875,46014.76953125,57017.37890625,86030.8046875,42986.171875,54013.6484375
392.75,55017.73828125,65032.67578125,37014.375,46014.74609375,57017.5859375,85996.7734375,43008.45703125,54013.28125
393.0,55017.62890625,65032.67578125,37014.37109375,46014.75390625,57017.2265625,86030.6796875,43008.41796875,54013.21484375
393.25,54999.51171875,65032.67578125,37014.37109375,46014.75390625,57017.859375,86031.046875,43008.4375,54013.20703125
393.5,54017.33984375,62035.71875,37017.0546875,47018.4453125,55017.5,85030.46875,48009.47265625,53012.984375
393.75,54017.39453125,62035.7265625,37017.0390625,47018.46875,55017.5078125,85030.890625,47983.79296875,53013.12890625
394.0,53999.484375,62035.72265625,37017.05078125,47018.45703125,55017.64453125,85029.7890625,48009.31640625,52997.98046875
394.25,53925.359375,62035.484375,36959.1796875,46939.078125,54931.31640625,84835.65625,48009.07421875,52977.46484375
394.5,54017.31640625,62035.72265625,37017.0546875,47018.453125,55017.3671875,85030.2734375,48009.38671875,53012.9765625
394.75,55017.6953125,61025.69921875,36000.3671875,46025.03125,55017.1328125,86030.640625,47008.76953125,55013.51953125
395.0,55017.8828125,61025.72265625,36000.3828125,46025.05859375,55004.7265625,86030.7421875,47009.37890625,55013.71875
395.25,55006.30078125,61025.72265625,36000.3828125,46025.0546875,55017.79296875,86030.40625,47009.3125,54999.4296875
395.5,54923.9765625,61025.484375,35944.1015625,45947.3515625,54930.6640625,85833.0234375,47009.140625,54976.703125
395.75,54924.0078125,61025.48828125,35944.0859375,45947.37109375,54930.48828125,85833.0546875,47009.14453125,54976.73046875
396.0,55021.3671875,61021.37109375,36016.6953125,48015.58203125,57017.22265625,87030.015625,46011.69921875,54016.3203125
396.25,55017.734375,61021.3671875,36016.734375,48015.453125,57017.828125,86995.8671875,46009.04296875,54013.28125
396.5,55017.75390625,61021.37109375,36016.71875,48015.47265625,57005.6953125,87031.4609375,46008.9609375,54013.16015625
396.75,55017.71875,61021.37109375,36016.71484375,48015.47265625,57018.42578125,87030.828125,46009.57421875,54013.53515625
397.0,55006.30078125,61021.37109375,36016.72265625,48015.46484375,57017.68359375,87030.9453125,46009.11328125,53999.4375
397.25,55017.8515625,61021.37109375,36016.72265625,48015.46875,57005.18359375,87030.90625,46009.0625,54013.359375
397.5,58918.9140625,60025.203125,35960.3125,47916.375,56928.84375,86831.15625,41009.2734375,58975.2734375
397.75,58999.47265625,60025.3828125,36016.640625,47997.3828125,57018.17578125,87030.75,41008.02734375,59014.43359375
398.0,59018.9296875,60025.3828125,36016.640625,47997.37890625,57018.20703125,86995.8515625,41008.0859375,59014.48046875
398.25,59019.06640625,60025.38671875,36016.61328125,47997.4140625,57017.75,87030.640625,41007.8984375,59014.54296875
398.5,58918.44140625,60025.15234375,35960.30859375,47916.37109375,56928.2890625,86831.2265625,41007.98046875,58975.06640625
398.75,59019.0625,60025.38671875,36016.61328125,47997.41796875,57017.65625,87031.2109375,41007.89453125,59014.55078125
399.0,60019.43359375,61016.54296875,37014.3125,46028.66796875,57017.0546875,85030.5625,40007.7578125,56999.2421875
399.25,60019.46484375,61016.54296875,37014.31640625,46028.63671875,57017.60546875,85030.5390625,40007.86328125,56998.0546875
399.5,60019.3828125,61016.54296875,37014.30859375,46028.63671875,57000.0859375,85030.09375,40007.8984375,57014.0625
399.75,60019.3984375,61016.546875,37014.296875,46028.6875,57017.8515625,85030.875,40007.84375,57014.03125
400.0,60019.4296875,61016.54296875,37014.3125,46028.66796875,57017.3515625,85030.6171875,40007.75390625,56999.23828125
400.25,58300.6015625,61016.43359375,38840.671875,44285.9453125,57615.64453125,86510.203125,39285.3046875,57004.9140625
400.5,58018.84375,61016.6171875,40009.40234375,44027.58203125,58005.6484375,87030.9375,39007.73828125,56999.39453125
400.75,58006.62109375,61016.62109375,40009.40625,44027.578125,58018.21875,87030.71875,39007.66796875,56998.0390625
401.0,58018.6171875,61016.6171875,40009.4140625,44027.5703125,58018.25390625,87030.625,39007.69921875,57013.99609375
401.25,58018.71875,61016.62109375,40009.39453125,44027.58984375,58018.56640625,87031.1875,39006.921875,57013.83984375
401.5,58018.703125,61016.62109375,40009.39453125,44027.5859375,58017.6953125,87031.3359375,39007.0625,57013.84375
401.75,58018.71875,61016.62109375,40009.39453125,44027.58984375,58018.56640625,87030.7109375,39006.91796875,57013.8359375
402.0,57018.38671875,64007.56640625,38023.44140625,44020.8515625,58017.921875,88996.1015625,39007.67578125,56013.7734375
402.25,56921.2109375,64007.32421875,37963.97265625,43946.55859375,57927.3984375,88827.1015625,39007.59375,55976.32421875
402.5,57018.4296875,64007.57421875,38023.41015625,44020.88671875,58017.89453125,89031.7890625,39007.5,56013.80859375
402.75,57018.3828125,64007.56640625,38023.44140625,44020.84765625,58018.109375,88996.8984375,39007.67578125,56013.7734375
403.0,57018.5078125,64007.5703125,38023.41796875,44020.87890625,58018.65625,89031.4921875,39007.6875,56013.8671875
403.25,57018.42578125,64007.5703125,38023.4140625,44020.87890625,58018.1796875,89031.59375,39007.6796875,56013.82421875
403.5,56018.12109375,67007.9453125,39015.1953125,42026.36328125,58999.88671875,92032.9453125,38007.609375,55013.69140625
403.75,56018.08203125,67007.953125,39015.19140625,42026.3671875,59018.546875,92033.03125,38007.4140625,55013.4140625
