Time,Time Varying Load 611.Single phase time-varying load1.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseA.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseB.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseC.P_measured,Time Varying Load 645.Single phase time-varying load645.P_measured,Time Varying Load 646.Single phase time-varying load646.P_measured,Time Varying Load 652.Single phase time-varying load652.P_measured,Time Varying Load 692.Single phase time-varying loadC.P_measured
319.25,21969.720703125,19022.4296875,14978.873046875,15975.609375,23969.859375,29747.23046875,12002.298828125,17992.8359375
319.5,22007.111328125,19022.501953125,15002.328125,16002.62890625,24007.529296875,29775.15625,12002.349609375,18004.41015625
319.75,22002.484375,19022.501953125,15002.3291015625,16002.6279296875,24002.185546875,29776.25,12002.36328125,18004.41015625
320.0,21999.87890625,19022.501953125,15002.330078125,16002.626953125,24000.013671875,29775.3984375,12002.3662109375,18004.412109375
320.25,22007.119140625,19022.501953125,15002.33203125,16002.625,24007.501953125,29779.9140625,12002.37890625,18004.412109375
320.5,20006.369140625,17008.4296875,13007.8994140625,14008.6171875,28008.73828125,24765.705078125,15002.4775390625,16998.541015625
320.75,20006.455078125,17008.3984375,13007.904296875,14008.6337890625,28008.783203125,24766.5859375,15002.96484375,16999.38671875
321.0,20006.453125,17008.3984375,13007.9052734375,14008.6318359375,28008.69140625,24778.115234375,15002.9609375,17004.15625
321.25,20006.451171875,17008.3984375,13007.9072265625,14008.630859375,28009.13671875,24768.791015625,15002.9609375,17004.154296875
321.5,19972.48828125,17008.333984375,12987.560546875,13984.9892578125,27964.740234375,24741.279296875,15002.873046875,16993.232421875
321.75,20002.265625,17008.400390625,13007.896484375,14008.640625,28008.482421875,24773.974609375,15002.935546875,17004.171875
322.0,19999.888671875,17008.400390625,13007.8984375,14008.6416015625,27999.97265625,24771.9453125,15002.955078125,17004.1640625
322.25,20006.458984375,17008.3984375,13007.900390625,14008.638671875,28002.53125,24777.056640625,14994.96484375,17004.19921875
322.5,19006.88671875,18005.0390625,18001.650390625,15006.095703125,19006.359375,30778.658203125,18003.900390625,13004.787109375
322.75,19006.123046875,18005.041015625,18001.64453125,15006.07421875,19005.91796875,30765.021484375,18003.533203125,12999.7919921875
323.0,19006.12890625,18005.041015625,18001.646484375,15006.072265625,19006.125,30780.791015625,18003.548828125,13003.1787109375
323.25,19006.130859375,18005.041015625,18001.646484375,15006.0810546875,19006.064453125,30776.421875,18003.552734375,13003.1787109375
323.5,19006.12890625,18005.041015625,18001.650390625,15006.080078125,19006.017578125,30782.453125,18003.552734375,13003.1767578125
323.75,18973.861328125,18004.97265625,17973.4921875,14980.7529296875,18976.208984375,30750.64453125,18003.447265625,12994.828125
324.0,19006.142578125,18005.041015625,18001.634765625,15006.0908203125,19005.859375,30779.486328125,18003.5546875,13003.1875
324.25,18999.888671875,18005.041015625,18001.638671875,15006.0888671875,19005.984375,30777.83984375,18003.521484375,13003.185546875
324.5,18005.41015625,16008.05859375,18008.36328125,19003.28125,16001.828125,30776.072265625,18993.9765625,14004.2880859375
324.75,18005.826171875,16008.0380859375,18008.375,19003.251953125,16005.1923828125,30775.484375,19003.658203125,14003.4267578125
325.0,18005.80859375,16008.0390625,18008.375,19003.25,16005.0146484375,30778.45703125,19003.748046875,14003.4150390625
325.25,18005.806640625,16008.0380859375,18008.37890625,19003.248046875,16005.0341796875,30775.23046875,19003.74609375,14003.4208984375
325.5,18005.80859375,16008.0380859375,18008.380859375,19003.244140625,16004.9248046875,30783.923828125,19003.75,14003.4228515625
325.75,18005.806640625,16008.0380859375,18008.3828125,19003.244140625,16004.96484375,30781.099609375,19003.75,14003.4208984375
326.0,17975.232421875,16007.9775390625,17980.21484375,18971.171875,15980.0390625,30744.259765625,19003.638671875,13994.435546875
326.25,18005.818359375,16008.0390625,18008.369140625,19003.2578125,16004.8876953125,30781.001953125,19003.751953125,14003.431640625
326.5,24999.54296875,17004.533203125,18008.25390625,14011.849609375,15004.7958984375,31777.51171875,14002.76171875,17002.986328125
326.75,25008.03515625,17004.533203125,18008.24609375,14011.8720703125,15001.3544921875,31784.486328125,13995.298828125,17004.1875
327.0,25008.078125,17004.533203125,18008.24609375,14011.87109375,15001.298828125,31778.466796875,14002.6787109375,17004.142578125
327.25,25008.05859375,17004.533203125,18008.25,14011.859375,15004.6201171875,31769.994140625,14002.75,16999.732421875
327.5,25008.06640625,17004.533203125,18008.251953125,14011.857421875,15004.908203125,31775.25,14002.7568359375,17004.154296875
327.75,25008.068359375,17004.533203125,18008.25390625,14011.8662109375,15004.716796875,31784.57421875,14002.763671875,17004.15625
328.0,25008.06640625,17004.533203125,18008.255859375,14011.8642578125,15004.6884765625,31781.859375,14002.763671875,17004.154296875
328.25,24965.599609375,17004.46875,17980.087890625,13988.2158203125,14981.1689453125,31748.712890625,14002.6826171875,16993.240234375
328.5,24007.3984375,17005.931640625,19007.369140625,14006.6435546875,15004.54296875,30777.5859375,15002.8427734375,17003.6640625
328.75,24002.71484375,17005.927734375,19007.37109375,14006.640625,15004.587890625,30783.1796875,15002.93359375,17004.166015625
329.0,24007.716796875,17005.927734375,19007.373046875,14006.6396484375,15001.3115234375,30775.1953125,14994.96484375,17004.189453125
329.25,24007.767578125,17005.927734375,19007.375,14006.6376953125,15004.66796875,30782.671875,15002.9736328125,17004.16796875
329.5,24007.73828125,17005.927734375,19007.376953125,14006.6337890625,15004.6904296875,30764.86328125,15002.9462890625,16999.732421875
329.75,24007.7421875,17005.927734375,19007.37890625,14006.634765625,15004.79296875,30772.30078125,15002.955078125,17004.154296875
330.0,24007.74609375,17005.927734375,19007.380859375,14006.6337890625,15004.609375,30778.923828125,15002.9609375,17004.15625
330.25,24007.7421875,17005.927734375,19007.3828125,14006.6328125,15004.666015625,30782.255859375,15002.9609375,17004.154296875
330.5,23016.2734375,21001.115234375,18009.71875,13000.3232421875,15004.36328125,33780.3125,13001.71484375,16005.99609375
330.75,23007.435546875,21000.947265625,18009.7421875,13000.328125,15004.72265625,33786.30859375,13002.5908203125,16003.9296875
331.0,22999.86328125,21000.947265625,18009.744140625,13000.3271484375,15004.6513671875,33782.921875,13002.5419921875,16003.9208984375
