Time,Time Varying Load 671.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadB.P_measured,Time Varying Load 671.Single phase time-varying loadA1.P_measured,Time Varying Load 671.Single phase time-varying loadA2.P_measured,Time Varying Load 675.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadC.P_measured
230.75,57013.33203125,14004.3662109375,44015.71875,61999.05078125,67013.3125,32010.36328125
231.0,57013.28125,13999.923828125,44015.71484375,62015.0625,67013.140625,32010.33984375
231.25,57013.30859375,14001.259765625,44015.70703125,62015.078125,67013.203125,32010.349609375
231.5,57012.94921875,14004.3720703125,44015.71484375,62015.0859375,67013.21875,32010.34765625
231.75,57013.16796875,14004.3515625,44015.70703125,62015.14453125,67013.1015625,32003.673828125
232.0,57013.2734375,14004.3583984375,44015.70703125,62015.125,67013.1953125,31999.80859375
232.25,57013.2890625,14004.3623046875,44015.70703125,62015.1171875,67013.2421875,32010.353515625
232.5,55041.35546875,17001.064453125,44007.89453125,61026.640625,62055.73828125,38996.7109375
232.75,55012.82421875,17005.302734375,44009.4296875,61014.8046875,62012.2109375,39012.6171875
233.0,55012.83984375,17005.298828125,44015.70703125,60997.76171875,62012.25390625,39012.61328125
233.25,55012.8125,16999.90625,44015.71484375,61014.7890625,62012.13671875,39012.59765625
233.5,55012.83203125,17005.30078125,44015.703125,61014.8359375,62012.21484375,39012.61328125
233.75,54985.90625,16978.96875,43920.81640625,60976.50390625,62011.87109375,38945.92578125
234.0,54983.53515625,17005.306640625,44015.71875,61014.92578125,62012.359375,39012.640625
234.25,55012.7109375,17005.287109375,44015.71484375,61014.8984375,62012.11328125,39004.4921875
234.5,60022.1328125,18001.79296875,38015.125,63029.3203125,56049.0234375,43013.8984375
234.75,60014.171875,18005.607421875,37998.45703125,63015.5,55981.1796875,43013.9375
235.0,60014.09765625,18005.611328125,37998.45703125,63015.45703125,55981.03125,43013.9375
235.25,60014.0078125,18005.615234375,38013.5703125,62997.70703125,56011.08203125,43013.921875
235.5,60014.00390625,18001.619140625,38013.5625,63015.33984375,56011.05859375,43013.91796875
235.75,60014.00390625,18005.61328125,38013.5625,63015.3359375,56011.0546875,43013.9140625
236.0,60014.0078125,18005.62109375,38013.5703125,63015.33203125,56011.0546875,43013.91015625
236.25,60013.58984375,18005.607421875,38013.56640625,63015.3828125,56011.0546875,43013.9375
236.5,14155.8935546875,4006.780517578125,-2004.538818359375,14100.9287109375,4064.123291015625,15054.0244140625
236.75,14003.2548828125,4001.248779296875,-2000.7149658203125,14003.4013671875,4000.791015625,15004.861328125
237.0,14003.2548828125,4001.24853515625,-2000.7142333984375,14003.4033203125,4000.79052734375,15004.857421875
237.25,14003.1689453125,4000.360595703125,-2000.714111328125,14003.4013671875,4000.79052734375,15004.8564453125
237.5,13995.7890625,4001.249755859375,-2000.71435546875,13999.7607421875,4000.79345703125,15004.85546875
237.75,14003.2607421875,4001.250244140625,-2000.7142333984375,14003.3974609375,4000.790283203125,15004.8525390625
238.0,14003.26171875,4001.250244140625,-2000.7142333984375,14003.3984375,4000.791259765625,15004.8525390625
238.25,13996.5810546875,3995.0400390625,-1996.4000244140625,13994.7744140625,3998.6103515625,14974.2998046875
238.5,14003.1865234375,6001.67431640625,-0.0,15003.548828125,4000.809326171875,12003.96875
238.75,14003.25390625,6001.87158203125,-0.0,15003.6484375,4000.790771484375,12003.8876953125
239.0,14003.2548828125,6001.8720703125,0.0,15003.646484375,4000.79052734375,12003.88671875
239.25,14003.2568359375,5999.96533203125,0.0,15003.6455078125,4000.790771484375,12003.884765625
239.5,13995.787109375,6000.5419921875,0.0,15003.6455078125,4000.792236328125,12003.8837890625
239.75,14003.2568359375,6001.87451171875,0.0,15003.63671875,4000.787841796875,12003.880859375
240.0,14003.2578125,6001.8740234375,0.0,14999.4443359375,4000.789794921875,12003.8818359375
240.25,14003.2626953125,6001.875,0.0,15003.642578125,4000.791015625,12001.3544921875
240.5,4998.849609375,998.9823608398438,8984.107421875,11994.1298828125,12995.3154296875,12981.3857421875
240.75,5001.16162109375,1000.3119506835938,8999.6298828125,12002.91796875,13002.5693359375,13004.2138671875
241.0,5001.16259765625,1000.3118286132812,9003.21484375,12002.91796875,13002.5693359375,13004.2099609375
241.25,5001.1630859375,1000.31201171875,9003.212890625,12002.9169921875,13002.568359375,13004.208984375
241.5,5001.1318359375,1000.3120727539062,9003.2138671875,12002.916015625,13002.5693359375,13004.208984375
241.75,5001.1640625,999.9942016601562,9003.2138671875,12002.9150390625,13002.56640625,13004.20703125
242.0,5001.16455078125,1000.3124389648438,9003.2138671875,11999.5537109375,13002.5693359375,13004.2060546875
242.25,5001.1640625,1000.3124389648438,9003.2138671875,12002.9091796875,13002.5634765625,13004.203125
242.5,9002.056640625,1000.251220703125,5001.76904296875,13003.728515625,10001.919921875,17002.044921875
242.75,8997.8017578125,998.7603149414062,4990.99951171875,12995.1455078125,9996.533203125,16976.474609375
243.0,9002.0869140625,1000.3118896484375,5001.07373046875,13003.16015625,10001.96875,17005.5078125
243.25,9002.091796875,1000.3118896484375,5001.78515625,13003.162109375,10001.9765625,17005.505859375
243.5,9002.0927734375,1000.3120727539062,5001.78515625,13003.16015625,10001.9765625,17005.505859375
243.75,9002.037109375,999.9942626953125,5001.78564453125,13003.1591796875,10001.9765625,17005.50390625
244.0,8997.291015625,1000.0900268554688,5001.78564453125,13003.158203125,10001.9794921875,17005.501953125
244.25,9002.095703125,1000.3123168945312,5001.78515625,12999.515625,10001.9755859375,17005.5
244.5,14003.13671875,2000.517822265625,0.0,13003.568359375,6001.076171875,17005.765625
244.75,14003.263671875,2000.625244140625,0.0,13003.15625,6001.1865234375,16999.896484375
245.0,13996.5791015625,1997.5203857421875,0.0,12995.140625,6001.1572265625,16976.48046875
245.25,14003.2451171875,2000.6239013671875,0.0,13003.1611328125,6001.18017578125,17005.5078125
245.5,14003.25390625,2000.6240234375,0.0,13003.1611328125,6001.185546875,17005.5078125
245.75,14003.255859375,2000.624267578125,0.0,13003.16015625,6001.185546875,17005.50390625
246.0,13995.787109375,2000.1807861328125,0.0,13003.16015625,6001.1884765625,17005.501953125
246.25,13995.787109375,2000.180908203125,0.0,13003.1591796875,6001.1884765625,17005.501953125
246.5,8001.9296875,0.0,6002.22705078125,8999.4853515625,9001.8779296875,17005.154296875
246.75,8001.86279296875,0.0,6002.142578125,9002.18359375,9001.7763671875,17005.498046875
247.0,8001.86474609375,0.0,6002.14306640625,9002.1845703125,9001.7783203125,17001.919921875
247.25,7998.04638671875,0.0,5989.19921875,8996.6396484375,8996.880859375,16976.47265625
247.5,8001.853515625,0.0,5999.7529296875,9002.1884765625,9001.767578125,17005.509765625
247.75,8001.85986328125,0.0,6002.14306640625,9002.1884765625,9001.779296875,17005.505859375
248.0,8001.8603515625,0.0,6002.14208984375,9002.1884765625,9001.779296875,17005.505859375
248.25,8001.81103515625,0.0,6002.142578125,9002.1875,9001.7783203125,17005.50390625
248.5,13995.6708984375,2999.90087890625,0.0,14000.962890625,2000.4410400390625,12004.4775390625
248.75,14003.25390625,3000.936767578125,0.0,13999.4765625,2000.39404296875,12003.8828125
249.0,14003.2607421875,3000.9375,0.0,14003.3974609375,2000.3951416015625,12003.8818359375
249.25,14003.26171875,3000.937744140625,0.0,14003.396484375,2000.3951416015625,11999.9306640625
249.5,14003.2470703125,3000.935546875,0.0,14003.4052734375,2000.394287109375,12003.888671875
249.75,14003.251953125,3000.935546875,0.0,14003.4052734375,2000.395263671875,12003.888671875
250.0,14003.2529296875,3000.935791015625,0.0,14003.4052734375,2000.3953857421875,12003.8876953125
250.25,14003.2548828125,3000.936279296875,0.0,14003.4033203125,2000.395263671875,12003.8857421875
250.5,7000.84716796875,6001.92041015625,5001.2109375,11999.884765625,4997.923828125,10003.263671875
250.75,6997.89306640625,5999.96630859375,5001.7861328125,11999.7939453125,5000.99072265625,10003.236328125
251.0,7001.62939453125,6001.87255859375,5001.78515625,11999.5517578125,5000.98779296875,10003.2353515625
251.25,7001.63037109375,6001.87451171875,5001.78564453125,12002.9111328125,5000.98779296875,10003.234375
251.5,6998.2939453125,5992.5693359375,4991.0,11995.5166015625,4998.26611328125,9986.1650390625
251.75,6998.28271484375,5992.568359375,4989.0087890625,11995.5146484375,5000.95703125,9986.169921875
252.0,7001.6259765625,6001.87060546875,5001.07568359375,12002.91796875,5000.98779296875,10003.240234375
252.25,7001.626953125,6001.87109375,5001.78515625,12002.9189453125,5000.98828125,10003.2392578125
252.5,8000.22802734375,8001.43798828125,3001.2890625,11001.8017578125,7997.00146484375,2001.4215087890625
252.75,8001.81103515625,8002.49658203125,3001.0712890625,11002.6728515625,8001.5810546875,2000.6474609375
253.0,8001.861328125,7999.9541015625,3001.071533203125,11002.6708984375,8001.5791015625,2000.6470947265625
253.25,8001.8623046875,8002.4990234375,3001.071044921875,11002.669921875,8001.57861328125,2000.64697265625
253.5,8001.86279296875,8002.4970703125,3001.0712890625,10999.5947265625,8001.58154296875,2000.6470947265625
253.75,8001.86865234375,8002.4990234375,3001.0712890625,11002.671875,7997.2666015625,1999.987548828125
254.0,7998.03515625,7990.09423828125,2993.4052734375,10995.8876953125,8001.53125,1997.234619140625
254.25,8001.859375,8002.49462890625,3001.07177734375,11002.67578125,8001.58154296875,2000.64794921875
254.5,11002.5224609375,5001.791015625,2000.739013671875,12002.1103515625,13002.1337890625,1000.3092041015625
254.75,11002.55859375,5001.56005859375,2000.714111328125,12002.91796875,13002.5693359375,1000.3237915039062
255.0,11002.490234375,5001.560546875,2000.7142333984375,12002.916015625,13002.5693359375,1000.32373046875
255.25,11002.55859375,4999.9716796875,2000.7142333984375,12002.9150390625,13002.564453125,1000.3236083984375
255.5,11002.5625,5001.5615234375,2000.714111328125,11999.791015625,13002.5712890625,1000.3236083984375
255.75,11002.5634765625,5001.5625,2000.7142333984375,12002.9111328125,13002.568359375,1000.1126098632812
256.0,11002.5615234375,5001.5625,2000.7142333984375,12002.9091796875,13002.564453125,1000.1124267578125
256.25,10997.294921875,4993.80712890625,1995.603515625,11995.5068359375,13002.4853515625,998.6171875
256.5,13002.98046875,3001.171630859375,-2000.479248046875,15002.6240234375,14002.3447265625,-2000.6990966796875
256.75,13003.0224609375,3000.935791015625,-2000.714111328125,15003.6494140625,14002.767578125,-2000.6478271484375
257.0,13002.9423828125,3000.93603515625,-2000.7142333984375,15003.6474609375,14002.7666015625,-2000.6475830078125
257.25,12996.087890625,3000.936767578125,-2000.71435546875,15003.6474609375,14002.7734375,-2000.6474609375
257.5,13003.0263671875,2999.982421875,-2000.7142333984375,15003.6435546875,14002.765625,-2000.647216796875
257.75,13003.029296875,3000.937255859375,-2000.7142333984375,14999.7421875,14002.771484375,-2000.647216796875
258.0,13003.029296875,3000.937255859375,-2000.714111328125,14999.4462890625,14002.7666015625,-2000.22509765625
258.25,13003.0302734375,3000.9375,-2000.71435546875,15003.6396484375,14002.7666015625,-2000.6468505859375
258.5,12996.908203125,3994.723388671875,997.774169921875,12995.90625,9996.75,4992.759765625
258.75,13003.0205078125,4001.247314453125,1000.2152099609375,13003.1611328125,10001.9755859375,5001.6201171875
259.0,13003.0234375,4001.248046875,1000.3570556640625,13003.16015625,10001.9765625,5001.61865234375
259.25,13003.0234375,4001.248046875,1000.3570556640625,13003.1611328125,10001.9765625,5001.619140625
259.5,13003.0234375,4001.248291015625,1000.3571166992188,13003.16015625,10001.9765625,5001.61865234375
259.75,13003.0224609375,3999.976318359375,1000.3571166992188,13003.158203125,10001.97265625,5001.6181640625
260.0,13003.02734375,4001.248779296875,1000.3570556640625,12999.7744140625,10001.978515625,5001.6181640625
260.25,13003.02734375,4001.2490234375,1000.3570556640625,12999.5205078125,10001.9765625,5001.61767578125
