step,day,k,p_load_fc_kw,p_pv_fc_kw,p_load_total_actual_kw,p_pv_total_actual_kw,baseline_grid_kw,battery_agg_kw,battery_action,grid_kw,grid_forecast_kw,soc_predicted_pct,soc_measured_646_pct,mpc_status
168,4,24,730.812,596.982,730.812,596.982,133.83,-279.384,Charge,413.214,413.214,18.1626,17.15,optimal
169,4,25,717.972,690.526,717.972,690.526,27.446,-385.768,Charge,413.214,413.214,19.6128,18.23,optimal
170,4,26,716.234,654.568,716.234,654.568,61.666,-351.548,Charge,413.214,413.214,20.9344,19.68,optimal
171,4,27,705.898,595.466,705.898,595.466,110.432,-302.782,Charge,413.214,413.214,22.0727,20.99,optimal
172,4,28,707.158,579.202,707.158,579.202,127.956,-285.258,Charge,413.214,413.214,23.1451,22.11,optimal
173,4,29,675.83,626.078,675.83,626.078,49.752,-32.6908,Charge,82.4428,82.4428,23.268,23.1,optimal
174,4,30,696.904,664.48,696.904,664.48,32.424,-50.0188,Charge,82.4428,82.4428,23.4561,23.25,optimal
175,4,31,667.316,640.572,667.316,640.572,26.744,-55.6988,Charge,82.4428,82.4428,23.6655,23.44,optimal
176,4,32,652.348,570.68,652.348,570.68,81.668,-0.7748,Charge,82.4428,82.4428,23.6684,23.62,optimal
177,4,33,677.366,560.218,677.366,560.218,117.148,34.7052,Discharge,82.4428,82.4428,23.5379,23.61,optimal
178,4,34,715.024,518.334,715.024,518.334,196.69,114.2472,Discharge,82.4428,82.4428,23.1084,23.43,optimal
179,4,35,806.808,382.334,806.808,382.334,424.474,342.0312,Discharge,82.4428,82.4428,21.8226,22.9,optimal
180,4,36,912.658,261.248,912.658,261.248,651.41,568.9672,Discharge,82.4428,82.4428,19.6836,21.54,optimal
181,4,37,926.796,186.884,926.796,186.884,739.912,657.4692,Discharge,82.4428,82.4428,17.2119,19.36,optimal
182,4,38,920.146,130.176,920.146,130.176,789.97,707.5272,Discharge,82.4428,82.4428,14.552,16.88,optimal
183,4,39,931.584,64.894,931.584,64.894,866.69,784.2472,Discharge,82.4428,82.4428,11.6037,14.21,optimal
184,4,40,931.146,11.33,931.146,11.33,919.816,837.3732,Discharge,82.4428,82.4428,8.4557,11.25,optimal
185,4,41,988.884,0.136,988.884,0.136,988.748,575.534,Discharge,413.214,413.214,6.292,8.21,optimal
186,4,42,984.83,0.332,984.83,0.332,984.498,571.284,Discharge,413.214,413.214,4.1444,6.05,optimal
187,4,43,957.894,0.3,957.894,0.3,957.594,537.6997,Discharge,419.8943,419.8943,2.1229,3.91,optimal
188,4,44,882.052,0.156,882.052,0.156,881.896,446.1732,Discharge,435.7228,435.7228,0.4456,1.93,optimal
189,4,45,882.546,0.332,882.546,0.332,882.214,-18.7765,Charge,900.9905,900.9905,0.5162,0.44,optimal
190,4,46,860.55,0.07,860.55,0.07,860.48,-64.5477,Charge,925.0277,925.0277,0.7588,0.51,optimal
191,4,47,761.804,0.108,761.804,0.108,761.696,-185.266,Charge,946.962,946.962,1.4553,0.8,optimal
192,4,48,695.12,0.068,695.12,0.068,695.052,-275.1982,Charge,970.2502,970.2502,2.4899,1.52,optimal
