Time,Node 646.V2_rms,Node 646.V3_rms,Node 652.V1_rms,Node 671.V1_rms,Node 671.V2_rms,Node 671.V3_rms,Node 675.V1_rms,Node 675.V2_rms,Node 675.V3_rms,UpperBound,LowerBound
4.5,2443.525146484375,2455.61865234375,2152.575927734375,2167.5966796875,2360.927490234375,2343.7392578125,2165.119384765625,2358.603759765625,2341.10888671875,2522.0,2282.0
4.75,2443.525146484375,2455.60107421875,2152.57568359375,2167.5966796875,2360.927490234375,2343.739501953125,2165.11962890625,2358.603515625,2341.109130859375,2522.0,2282.0
5.0,2443.525146484375,2455.623046875,2152.564697265625,2167.59619140625,2360.92724609375,2343.739501953125,2165.118896484375,2358.603515625,2341.109130859375,2522.0,2282.0
5.25,2443.525146484375,2455.60205078125,2152.5576171875,2168.767333984375,2360.92724609375,2343.7392578125,2165.11865234375,2358.603271484375,2341.10888671875,2522.0,2282.0
5.5,2443.525146484375,2455.606201171875,2152.582763671875,2167.5966796875,2360.927001953125,2343.73974609375,2165.119384765625,2359.877685546875,2341.109375,2522.0,2282.0
5.75,2444.845703125,2455.615234375,2152.573486328125,2167.59619140625,2360.927490234375,2343.739013671875,2165.119140625,2358.603515625,2341.10888671875,2522.0,2282.0
6.0,2443.525146484375,2455.61083984375,2152.581787109375,2167.596435546875,2360.927734375,2343.739501953125,2165.119140625,2358.603759765625,2341.109375,2522.0,2282.0
6.25,2443.525146484375,2455.63232421875,2152.56201171875,2168.76806640625,2360.92724609375,2343.7392578125,2165.119384765625,2358.603515625,2341.10888671875,2522.0,2282.0
6.5,2444.845703125,2455.62451171875,2153.75390625,2167.596435546875,2360.927490234375,2343.7392578125,2165.119140625,2358.603515625,2341.109130859375,2522.0,2282.0
6.75,2443.525146484375,2455.6162109375,2152.598876953125,2167.596435546875,2360.92724609375,2343.739501953125,2165.119140625,2358.603515625,2341.109130859375,2522.0,2282.0
7.0,2443.525146484375,2455.605224609375,2152.573974609375,2167.59619140625,2360.927001953125,2343.739501953125,2166.288818359375,2358.60302734375,2341.109375,2522.0,2282.0
7.25,2443.525146484375,2455.603759765625,2152.593017578125,2168.767822265625,2360.927490234375,2343.7392578125,2165.119140625,2358.603759765625,2341.109130859375,2522.0,2282.0
7.5,2443.525146484375,2455.609375,2152.58740234375,2167.59619140625,2360.92822265625,2343.739501953125,2165.118896484375,2358.6044921875,2341.109375,2522.0,2282.0
7.75,2443.525146484375,2455.601806640625,2152.578369140625,2167.5966796875,2362.203125,2343.7392578125,2165.119384765625,2358.603515625,2341.109130859375,2522.0,2282.0
8.0,2443.525146484375,2456.937255859375,2152.560791015625,2167.596435546875,2360.927490234375,2343.739501953125,2165.119140625,2358.603759765625,2342.374267578125,2522.0,2282.0
8.25,2443.525146484375,2455.614990234375,2153.7587890625,2167.596435546875,2360.927001953125,2343.7392578125,2165.119140625,2358.603271484375,2341.10888671875,2522.0,2282.0
8.5,2443.525146484375,2455.618896484375,2153.73974609375,2167.59619140625,2360.927978515625,2343.739501953125,2165.118896484375,2358.60400390625,2341.109375,2522.0,2282.0
8.75,2444.845458984375,2455.619140625,2152.59619140625,2167.595947265625,2360.927490234375,2343.7392578125,2165.11865234375,2358.603759765625,2341.10888671875,2522.0,2282.0
9.0,2443.525146484375,2455.620361328125,2152.580810546875,2167.596435546875,2360.927490234375,2343.73876953125,2165.119140625,2358.603759765625,2341.1083984375,2522.0,2282.0
9.25,2443.525146484375,2455.618896484375,2152.5859375,2167.5966796875,2360.927490234375,2343.739501953125,2166.289306640625,2358.603515625,2341.109130859375,2522.0,2282.0
9.5,2443.525146484375,2455.616943359375,2152.5849609375,2168.768310546875,2360.927734375,2343.739501953125,2165.11962890625,2358.603759765625,2341.109130859375,2522.0,2282.0
9.75,2443.52685546875,2455.62451171875,2152.5703125,2167.595947265625,2360.92724609375,2343.7392578125,2165.11865234375,2358.603515625,2341.109130859375,2522.0,2282.0
10.0,2443.525146484375,2456.92822265625,2152.572509765625,2167.59619140625,2362.203125,2343.73974609375,2165.118896484375,2358.603515625,2341.109375,2522.0,2282.0
10.25,2443.525146484375,2455.618896484375,2152.600341796875,2167.59619140625,2360.927490234375,2345.006103515625,2165.118896484375,2358.603759765625,2341.109375,2522.0,2282.0
10.5,2460.8935546875,2460.890869140625,2463.708740234375,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
10.75,2460.8935546875,2460.901123046875,2463.72119140625,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
11.0,2460.8935546875,2460.888671875,2463.7001953125,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
11.25,2460.8935546875,2460.882568359375,2463.708740234375,2463.7138671875,2457.900390625,2453.611328125,2463.7138671875,2457.900390625,2453.611328125,2522.0,2282.0
11.5,2460.8935546875,2460.890625,2463.713134765625,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
11.75,2460.8935546875,2460.896484375,2463.718505859375,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
12.0,2460.895263671875,2460.889892578125,2465.05224609375,2465.04541015625,2456.572998046875,2454.937255859375,2465.04541015625,2456.572998046875,2454.937255859375,2522.0,2282.0
12.25,2460.8935546875,2460.87548828125,2463.71044921875,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
12.5,2460.8935546875,2460.882568359375,2463.72412109375,2463.7138671875,2456.57275390625,2453.611328125,2463.7138671875,2456.57275390625,2453.611328125,2522.0,2282.0
12.75,2460.8935546875,2460.888671875,2463.720458984375,2463.7138671875,2456.57275390625,2453.611328125,2463.7138671875,2456.57275390625,2453.611328125,2522.0,2282.0
13.0,2460.8935546875,2460.893310546875,2463.73046875,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
13.25,2460.8935546875,2460.884521484375,2463.709716796875,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
13.5,2460.8935546875,2462.22607421875,2463.71533203125,2463.7138671875,2456.57275390625,2453.611328125,2463.7138671875,2456.57275390625,2453.611328125,2522.0,2282.0
13.75,2462.223388671875,2460.90625,2463.704833984375,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
14.0,2460.8935546875,2460.899169921875,2463.70361328125,2463.7138671875,2456.57275390625,2453.611328125,2463.7138671875,2456.57275390625,2453.611328125,2522.0,2282.0
14.25,2460.8935546875,2460.89453125,2463.70751953125,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
14.5,2460.8935546875,2460.891357421875,2463.709228515625,2463.7138671875,2456.57275390625,2453.611328125,2463.7138671875,2456.57275390625,2453.611328125,2522.0,2282.0
14.75,2460.8935546875,2460.88720703125,2463.72314453125,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
15.0,2460.8935546875,2460.89404296875,2463.726318359375,2463.7138671875,2456.57275390625,2453.611328125,2463.7138671875,2456.57275390625,2453.611328125,2522.0,2282.0
15.25,2460.8935546875,2460.88525390625,2463.71142578125,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
15.5,2460.8935546875,2460.887939453125,2463.708740234375,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
15.75,2460.8935546875,2460.889404296875,2463.7216796875,2463.7138671875,2457.900390625,2453.611328125,2463.7138671875,2457.900390625,2453.611328125,2522.0,2282.0
16.0,2462.223388671875,2460.90185546875,2463.712890625,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
16.25,2460.8935546875,2460.893798828125,2463.696533203125,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
16.5,2460.8935546875,2460.8896484375,2463.703369140625,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
16.75,2460.8935546875,2460.903076171875,2463.709716796875,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
17.0,2460.8935546875,2460.878173828125,2463.71337890625,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
17.25,2460.8935546875,2460.889892578125,2463.7041015625,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
17.5,2460.8935546875,2460.90966796875,2463.721435546875,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
17.75,2460.8935546875,2460.90380859375,2463.6923828125,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
18.0,2460.8935546875,2462.219970703125,2463.7275390625,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
18.25,2462.223388671875,2460.88720703125,2463.70703125,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
18.5,2460.8935546875,2460.890625,2463.7099609375,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
18.75,2460.8935546875,2460.880859375,2463.710693359375,2463.7138671875,2456.572998046875,2454.937255859375,2463.7138671875,2456.572998046875,2454.937255859375,2522.0,2282.0
19.0,2460.8935546875,2460.88330078125,2463.724853515625,2463.7138671875,2456.572998046875,2453.611328125,2463.7138671875,2456.572998046875,2453.611328125,2522.0,2282.0
19.25,2454.308349609375,2462.208740234375,2365.32470703125,2368.34326171875,2449.346435546875,2429.336669921875,2365.32275390625,2449.79931640625,2428.27685546875,2522.0,2282.0
19.5,2454.308349609375,2462.20263671875,2365.359619140625,2368.345703125,2449.344482421875,2429.3369140625,2365.324951171875,2449.797119140625,2428.27734375,2522.0,2282.0
19.75,2454.308349609375,2462.19677734375,2365.36181640625,2368.341552734375,2449.346923828125,2429.337890625,2365.32080078125,2449.799560546875,2428.2783203125,2522.0,2282.0
20.0,2454.56591796875,2462.189453125,2366.16357421875,2369.3994140625,2449.2333984375,2427.790283203125,2366.354736328125,2449.706298828125,2426.561279296875,2522.0,2282.0
20.25,2454.56591796875,2462.185302734375,2366.208984375,2369.419921875,2449.231689453125,2427.752197265625,2366.376220703125,2449.7041015625,2426.521728515625,2522.0,2282.0
20.5,2454.56591796875,2462.199462890625,2366.18798828125,2369.41943359375,2449.232421875,2427.749267578125,2366.3759765625,2449.705322265625,2426.518798828125,2522.0,2282.0
