Time,Node 680.V1_rms,Node 680.V2_rms,Node 680.V3_rms,Node 684.V1_rms,Node 684.V3_rms,Node 692.V1_rms,Node 692.V2_rms,Node 692.V3_rms,UpperBound,LowerBound
339.75,2458.66357421875,2454.4541015625,2452.189453125,2458.53857421875,2452.230224609375,2458.66357421875,2454.4541015625,2452.189453125,2522.0,2282.0
340.0,2458.66357421875,2454.4541015625,2452.189453125,2458.53857421875,2452.22998046875,2458.66357421875,2454.4541015625,2452.189453125,2522.0,2282.0
340.25,2458.66357421875,2454.4541015625,2452.189453125,2458.53857421875,2452.22998046875,2458.66357421875,2454.4541015625,2452.189453125,2522.0,2282.0
340.5,2457.56640625,2455.5087890625,2451.774169921875,2457.408203125,2451.84814453125,2457.56640625,2455.5087890625,2451.774169921875,2522.0,2282.0
340.75,2457.56689453125,2455.5087890625,2451.774658203125,2457.40869140625,2451.8486328125,2457.56689453125,2455.5087890625,2451.774658203125,2522.0,2282.0
341.0,2458.893798828125,2455.509033203125,2453.09912109375,2458.7353515625,2453.173095703125,2458.893798828125,2455.509033203125,2453.09912109375,2522.0,2282.0
341.25,2457.567138671875,2455.5087890625,2451.77490234375,2457.408935546875,2451.848876953125,2457.567138671875,2455.5087890625,2451.77490234375,2522.0,2282.0
341.5,2457.568115234375,2455.5087890625,2451.77490234375,2457.409912109375,2451.848876953125,2457.568115234375,2455.5087890625,2451.77490234375,2522.0,2282.0
341.75,2457.566162109375,2455.5087890625,2451.7744140625,2457.407958984375,2451.848388671875,2457.566162109375,2455.5087890625,2451.7744140625,2522.0,2282.0
342.0,2457.566162109375,2455.509033203125,2451.774169921875,2457.407958984375,2451.848388671875,2457.566162109375,2455.509033203125,2451.774169921875,2522.0,2282.0
342.25,2457.566162109375,2456.835693359375,2451.774169921875,2457.407958984375,2451.848388671875,2457.566162109375,2456.835693359375,2451.774169921875,2522.0,2282.0
342.5,2458.564208984375,2456.191162109375,2451.139892578125,2458.41796875,2451.0595703125,2458.564208984375,2456.191162109375,2451.139892578125,2522.0,2282.0
342.75,2458.564208984375,2454.865234375,2451.139892578125,2458.41796875,2451.059326171875,2458.564208984375,2454.865234375,2451.139892578125,2522.0,2282.0
343.0,2458.56591796875,2454.86474609375,2451.14013671875,2458.419677734375,2451.0595703125,2458.56591796875,2454.86474609375,2451.14013671875,2522.0,2282.0
343.25,2458.56396484375,2454.864501953125,2451.139892578125,2458.41748046875,2451.059326171875,2458.56396484375,2454.864501953125,2451.139892578125,2522.0,2282.0
343.5,2458.564208984375,2454.864501953125,2451.139892578125,2458.41796875,2451.0595703125,2458.564208984375,2454.864501953125,2451.139892578125,2522.0,2282.0
343.75,2458.565673828125,2454.8642578125,2451.14111328125,2458.419677734375,2451.060791015625,2458.565673828125,2454.8642578125,2451.14111328125,2522.0,2282.0
344.0,2458.564453125,2454.864501953125,2451.14013671875,2458.41796875,2451.0595703125,2458.564453125,2454.864501953125,2451.14013671875,2522.0,2282.0
344.25,2458.564208984375,2454.864501953125,2451.139892578125,2458.41796875,2451.0595703125,2458.564208984375,2454.864501953125,2451.139892578125,2522.0,2282.0
344.5,2458.314208984375,2454.305908203125,2452.730224609375,2458.2763671875,2452.825439453125,2458.314208984375,2454.305908203125,2452.730224609375,2522.0,2282.0
344.75,2458.314208984375,2454.305908203125,2452.73046875,2458.2763671875,2452.825439453125,2458.314208984375,2454.305908203125,2452.73046875,2522.0,2282.0
345.0,2458.314697265625,2454.306884765625,2452.730224609375,2458.277099609375,2452.825439453125,2458.314697265625,2454.306884765625,2452.730224609375,2522.0,2282.0
345.25,2458.31591796875,2454.306884765625,2452.73046875,2458.278076171875,2452.825439453125,2458.31591796875,2454.306884765625,2452.73046875,2522.0,2282.0
