Time,Time Varying Load 671.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadB.P_measured,Time Varying Load 671.Single phase time-varying loadA1.P_measured,Time Varying Load 671.Single phase time-varying loadA2.P_measured,Time Varying Load 675.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadC.P_measured
148.25,131030.6640625,29009.03125,106037.8359375,131032.109375,137027.015625,97031.4140625
148.5,131030.7265625,29002.6015625,106037.8125,131032.046875,137026.96875,97031.3671875
148.75,131030.7109375,29009.044921875,106037.7890625,131031.984375,137027.09375,97031.1953125
149.0,131030.7421875,28999.84765625,106037.890625,131032.0390625,137026.984375,97031.359375
149.25,131030.7265625,29002.59765625,106037.8125,131032.046875,137026.96875,97031.375
149.5,141963.3125,32959.18359375,90823.4296875,138943.71875,136025.765625,87877.609375
149.75,142031.125,33010.30859375,91032.4765625,139033.453125,136024.25,88028.484375
150.0,141958.078125,33010.36328125,91032.5546875,139033.921875,136027.25,88028.5
150.25,142033.171875,33010.2578125,91032.4609375,139033.984375,136026.71875,88028.5078125
150.5,142033.25,33010.28125,91032.53125,139034.140625,136026.734375,88010.1640625
150.75,142033.25,33010.28515625,91032.5234375,139034.125,136026.6875,87999.5703125
151.0,142033.28125,33010.2890625,91032.46875,139033.96875,136026.859375,88028.375
151.25,142033.328125,32999.828125,91032.53125,139034.015625,136026.8125,88028.4375
151.5,143962.8125,29962.90625,88827.1875,142942.046875,134025.453125,88876.078125
151.75,144033.46875,30009.30078125,89031.765625,142995.453125,133955.625,89028.8359375
152.0,143957.546875,30009.423828125,89031.8515625,143034.96875,134026.96875,89028.8515625
152.25,144032.9375,30009.322265625,89031.7421875,143034.75,134025.671875,89028.84375
152.5,144033.640625,30009.32421875,89031.75,143034.953125,134026.328125,89028.8359375
152.75,144033.71875,30009.34765625,89031.8046875,143035.109375,134026.3125,89010.2734375
153.0,144033.71875,30009.349609375,89031.8359375,143035.15625,134026.28125,89010.3203125
153.25,144033.78125,29999.845703125,89031.7734375,143034.9375,134026.5,89028.625
153.5,139032.734375,30002.693359375,88031.40625,149036.40625,142027.984375,82026.4921875
153.75,138963.890625,29962.953125,87806.84375,148939.6875,142026.984375,81885.9375
154.0,139032.828125,30009.271484375,88031.390625,148999.015625,141954.171875,82026.578125
154.25,139031.671875,30009.302734375,88031.3515625,149036.09375,142026.765625,82026.484375
154.5,139032.546875,30009.32421875,88031.40625,149036.421875,142027.921875,82026.5703125
154.75,139032.546875,30009.345703125,88031.4140625,149036.53125,142027.953125,82026.546875
155.0,139032.5625,30009.34765625,88031.4140625,149036.515625,142027.984375,82026.546875
155.25,139032.578125,30009.3515625,88031.453125,149036.59375,142027.90625,81999.59375
155.5,136031.875,23002.06640625,90032.0859375,149036.46875,149029.421875,86027.828125
155.75,136031.90625,23007.169921875,90032.1171875,149036.46875,149029.359375,86027.8203125
156.0,136030.953125,23007.1484375,90019.1484375,149036.53125,149029.34375,86027.84375
156.25,136032.109375,23007.0859375,90032.078125,148998.828125,148950.703125,86027.8671875
156.5,136030.203125,23007.150390625,90032.09375,148994.3125,149026.375,86027.9140625
156.75,136031.59375,23007.181640625,90032.1015625,149035.890625,149028.578125,86027.7734375
157.0,136031.796875,23007.166015625,90032.1171875,149036.46875,149029.234375,86027.8359375
157.25,136031.875,23007.16796875,90032.1328125,149036.515625,149029.34375,86027.8359375
157.5,138032.359375,25007.791015625,85030.359375,150036.828125,143028.125,87999.6015625
157.75,138032.375,25002.2421875,85030.3046875,150036.640625,143028.21875,88028.3671875
158.0,138032.375,25002.244140625,85030.328125,150036.703125,143028.15625,88028.46875
158.25,137964.0625,24969.12109375,84813.4375,149939.21875,143027.171875,87877.546875
158.5,137960.375,25007.771484375,85030.3515625,150037.75,142954.140625,88028.453125
158.75,138030.796875,25007.771484375,85030.3125,149994.25,143025.671875,88028.5546875
159.0,138032.125,25007.7890625,85030.328125,150036.390625,143027.609375,88028.421875
159.25,138032.328125,25007.791015625,85030.3515625,150036.75,143028.140625,88028.4921875
159.5,147034.390625,24007.47265625,74026.3515625,160039.25,136026.84375,92029.8203125
159.75,147034.4375,24007.482421875,74026.453125,160039.296875,136026.71875,92010.6171875
160.0,147034.46875,24002.15625,74026.375,160039.078125,136026.890625,92029.6015625
160.25,147034.5,24007.51171875,73997.046875,160039.21875,136026.8125,92029.828125
160.5,147033.5625,24007.4609375,74026.40625,160039.34375,136027.09375,92029.7890625
160.75,147034.484375,24007.42578125,74026.390625,160039.984375,135955.53125,92029.7578125
161.0,147032.8125,24007.458984375,74026.3828125,159993.890625,136024.484375,92029.859375
161.25,147034.375,24007.48046875,74026.4296875,160039.140625,136026.734375,92029.796875
161.5,151035.234375,31009.6640625,69024.5390625,163039.890625,129025.40625,89028.765625
161.75,151035.34375,31009.6640625,69024.6328125,163039.953125,129025.40625,89028.8203125
162.0,151035.375,31009.66796875,69024.6640625,163040.015625,129025.359375,88999.515625
162.25,151035.421875,30999.841796875,69024.6328125,163039.8125,129025.5390625,89028.59375
162.5,151035.421875,31009.6640625,69014.7734375,163039.84375,129025.4140625,89028.7578125
162.75,150960.765625,30961.66015625,68875.8359375,162933.859375,129024.515625,88876.046875
163.0,151035.046875,31009.6171875,69024.640625,163040.5625,128957.15625,89028.828125
163.25,151034.328125,31009.615234375,69024.5859375,163039.5,129024.2890625,89028.75
163.5,144033.390625,27008.42578125,85030.4140625,150035.984375,137025.875,96030.953125
163.75,144033.765625,27008.4140625,85030.359375,150036.765625,137027.03125,96031.09375
164.0,144033.734375,27008.412109375,85030.3828125,150036.84375,137026.875,96011.0859375
164.25,144033.75,27008.41796875,85030.328125,150036.6875,137027.015625,96030.9765625
164.5,144033.796875,26999.859375,85030.3671875,150036.671875,137027.046875,96030.953125
