Time,Node 632.Probe1
183.0,1198742.125
184.0,1465340.75
185.0,1569526.75
186.0,1720167.0
187.0,1842342.75
188.0,1963625.75
189.0,1997126.75
190.0,2154311.75
191.0,2069820.125
192.0,2308576.25
193.0,2168745.25
194.0,2164043.25
195.0,2258359.0
196.0,2425603.25
197.0,2333549.75
198.0,2405807.75
199.0,2199257.5
200.0,2153044.0
201.0,2021518.25
202.0,1994561.625
203.0,2132333.25
204.0,1704666.5
205.0,1652844.25
206.0,1529555.5
207.0,1618289.5
208.0,1215711.125
209.0,1200428.5
210.0,991556.375
211.0,1097624.875
212.0,811932.9375
213.0,791890.0
214.0,853168.1875
215.0,800981.0625
216.0,781943.375
217.0,704953.25
218.0,699081.5625
219.0,616176.375
220.0,577768.0625
221.0,626026.0
222.0,544498.8125
223.0,666817.875
224.0,581622.0
225.0,581510.3125
226.0,444749.8125
227.0,570844.4375
228.0,377415.53125
229.0,471867.875
230.0,351176.75
231.0,457506.34375
232.0,337052.9375
233.0,316592.90625
234.0,380835.75
235.0,297522.84375
236.0,255518.890625
237.0,249644.515625
238.0,208089.78125
239.0,304765.59375
240.0,215963.640625
241.0,94715.6171875
242.0,-8181.77685546875
243.0,49609.23828125
244.0,41907.75
245.0,-108926.2265625
246.0,-66118.796875
247.0,-116864.109375
248.0,-151511.5625
249.0,-241922.703125
250.0,-391130.0
251.0,-388472.84375
252.0,-260704.71875
253.0,-367358.625
254.0,-494757.375
255.0,-366478.375
256.0,-495787.6875
257.0,-551762.1875
258.0,-416212.625
259.0,-584833.9375
260.0,-401725.5
261.0,-484532.53125
262.0,-602002.3125
263.0,-691937.75
264.0,-599355.6875
265.0,-509626.875
266.0,-495776.65625
267.0,-464386.15625
268.0,-466230.15625
269.0,-482680.125
270.0,-641886.0625
271.0,-403863.40625
272.0,-464825.4375
273.0,-227391.453125
274.0,-339195.75
275.0,-270000.53125
276.0,-181974.578125
277.0,-124738.7734375
278.0,-99489.78125
279.0,-157710.578125
280.0,-30618.78125
281.0,147482.53125
282.0,172486.140625
283.0,240614.46875
284.0,225839.96875
285.0,312757.6875
286.0,328820.3125
287.0,354903.59375
288.0,258027.296875
289.0,284894.875
290.0,238732.828125
291.0,336893.34375
292.0,363844.03125
293.0,294363.21875
294.0,347974.78125
295.0,417867.9375
296.0,337898.71875
297.0,361026.375
298.0,368108.34375
299.0,327123.1875
300.0,380817.78125
301.0,227442.640625
302.0,396425.78125
303.0,175447.34375
304.0,341699.90625
305.0,182329.921875
306.0,217713.390625
307.0,216774.046875
308.0,270383.5625
309.0,218120.21875
310.0,230676.25
311.0,76021.6171875
312.0,156365.1875
313.0,105129.7109375
314.0,-608.5859375
315.0,152045.15625
316.0,19698.9921875
317.0,85017.375
318.0,141242.75
319.0,63395.3828125
320.0,67757.4609375
321.0,-38530.765625
322.0,110357.5625
323.0,40545.78515625
324.0,-12914.5205078125
325.0,-49643.3046875
326.0,-34980.58984375
327.0,125069.8828125
328.0,-32508.310546875
329.0,39628.26171875
330.0,-7798.876953125
331.0,29676.19921875
332.0,53621.1796875
333.0,111626.4765625
334.0,182130.1875
335.0,128371.1796875
336.0,154632.375
337.0,96160.9765625
338.0,101558.40625
339.0,-323.80596923828125
340.0,76333.8125
341.0,-90067.890625
342.0,-116733.9921875
343.0,8060.29541015625
344.0,-19546.033203125
345.0,-144382.8125
346.0,-164259.828125
347.0,-117660.9140625
348.0,-194191.28125
349.0,-128481.7578125
350.0,-204502.578125
351.0,-142378.265625
352.0,-275282.84375
353.0,-345483.28125
354.0,-340458.03125
355.0,-396284.5625
356.0,-341995.3125
357.0,-401829.625
358.0,-316122.375
359.0,-360115.59375
360.0,-197705.765625
361.0,-182903.359375
362.0,-186407.796875
363.0,-251397.796875
364.0,-393697.25
365.0,-346282.9375
366.0,-394707.15625
367.0,-448170.96875
368.0,-449566.375
369.0,-375175.71875
370.0,-229797.578125
371.0,-378510.125
372.0,-210183.859375
373.0,-296972.375
374.0,-251011.1875
375.0,-130397.90625
376.0,-109327.6640625
377.0,147021.375
378.0,85744.0546875
379.0,239465.328125
380.0,250384.125
381.0,170735.125
382.0,232890.5
383.0,291921.96875
384.0,211034.859375
385.0,244557.484375
386.0,343280.5
387.0,404296.5625
388.0,358817.21875
389.0,423451.1875
390.0,372457.46875
391.0,430056.78125
392.0,369356.25
393.0,355282.40625
394.0,277575.21875
395.0,279000.5625
396.0,413187.03125
397.0,332219.96875
398.0,298712.40625
399.0,225677.703125
400.0,179975.0625
401.0,243231.296875
402.0,120095.5625
403.0,179764.4375
404.0,226347.6875
405.0,205184.515625
406.0,181927.09375
407.0,231432.109375
408.0,181502.890625
409.0,191548.078125
410.0,214858.9375
411.0,216706.828125
412.0,181471.78125
413.0,219272.609375
414.0,229846.015625
415.0,179805.53125
416.0,229402.484375
417.0,224877.125
418.0,232075.578125
419.0,200840.21875
420.0,182939.421875
421.0,190569.78125
422.0,182088.03125
423.0,190431.375
424.0,196691.765625
425.0,189206.203125
426.0,200185.984375
427.0,184835.265625
428.0,230818.96875
429.0,188671.34375
430.0,204795.421875
431.0,230443.046875
432.0,179982.40625
433.0,216550.53125
434.0,211598.125
435.0,226531.03125
436.0,180163.4375
437.0,231989.703125
438.0,186261.234375
